task,method,fraction_bin_center_pct,mean_abs_RUL_error,sd_abs_RUL_error
task1,SPI+CBU (ours),15.0,6.9553,5.5236
task1,SPI+CBU (ours),25.0,5.9422,4.3117
task1,SPI+CBU (ours),35.0,6.6907,4.7021
task1,SPI+CBU (ours),45.0,6.587,4.667
task1,SPI+CBU (ours),65.0,7.3258,4.8729
task1,SPI+CBU (ours),75.0,7.5322,4.2013
task1,SPI+CBU (ours),85.0,7.0617,3.6878
task1,SPI+CBU (ours),95.0,4.1713,3.594
task1,SPI+TBU,15.0,63.0202,35.398
task1,SPI+TBU,25.0,50.454,27.8083
task1,SPI+TBU,35.0,43.6474,34.9597
task1,SPI+TBU,45.0,inf,
task1,SPI+TBU,65.0,inf,
task1,SPI+TBU,75.0,inf,
task1,SPI+TBU,85.0,inf,
task1,SPI+TBU,95.0,inf,
task1,Lin,15.0,35.4176,29.1272
task1,Lin,25.0,39.346,21.7822
task1,Lin,35.0,40.8076,21.3696
task1,Lin,45.0,37.6037,17.039
task1,Lin,65.0,31.2623,12.4966
task1,Lin,75.0,23.0307,8.1616
task1,Lin,85.0,14.4177,4.6384
task1,Lin,95.0,2.6469,3.5228
task1,Log-Bayes,15.0,inf,
task1,Log-Bayes,25.0,inf,
task1,Log-Bayes,35.0,inf,
task1,Log-Bayes,45.0,inf,
task1,Log-Bayes,65.0,inf,
task1,Log-Bayes,75.0,160.5607,313.9066
task1,Log-Bayes,85.0,103.5003,193.8642
task1,Log-Bayes,95.0,57.6759,74.1533
task1,Wiener,15.0,154.7406,214.1288
task1,Wiener,25.0,86.7137,124.8891
task1,Wiener,35.0,75.3002,128.4042
task1,Wiener,45.0,56.7553,96.9084
task1,Wiener,65.0,46.6037,97.2054
task1,Wiener,75.0,36.9497,99.4525
task1,Wiener,85.0,28.1909,102.047
task1,Wiener,95.0,16.8903,105.392
task1,Weibull,15.0,155.933,211.0873
task1,Weibull,25.0,109.6913,171.602
task1,Weibull,35.0,91.5762,154.5488
task1,Weibull,45.0,70.0359,131.8408
task1,Weibull,65.0,59.8704,135.2835
task1,Weibull,75.0,50.6909,137.6651
task1,Weibull,85.0,25.7619,58.3075
task1,Weibull,95.0,7.3416,24.7754
task2,SPI+CBU (ours),15.0,11.7106,9.1068
task2,SPI+CBU (ours),25.0,13.9118,3.0179
task2,SPI+CBU (ours),35.0,10.8564,9.7374
task2,SPI+CBU (ours),45.0,8.2563,7.8076
task2,SPI+CBU (ours),55.0,7.8613,6.4134
task2,SPI+CBU (ours),65.0,3.8659,2.1407
task2,SPI+CBU (ours),75.0,6.1318,6.9803
task2,SPI+CBU (ours),85.0,1.696,1.6448
task2,SPI+CBU (ours),95.0,3.6744,3.5034
task2,SPI+TBU,15.0,66.7227,118.0563
task2,SPI+TBU,25.0,13.1707,1.3793
task2,SPI+TBU,35.0,84.4757,130.3094
task2,SPI+TBU,45.0,18.7345,16.2277
task2,SPI+TBU,55.0,25.3533,16.2131
task2,SPI+TBU,65.0,7.1234,6.9315
task2,SPI+TBU,75.0,12.6704,9.102
task2,SPI+TBU,85.0,6.4641,10.6382
task2,SPI+TBU,95.0,7.4227,11.4089
task2,Lin,15.0,24.8209,27.1992
task2,Lin,25.0,15.6022,2.5856
task2,Lin,35.0,39.4126,29.449
task2,Lin,45.0,14.7423,12.2222
task2,Lin,55.0,53.9595,66.2951
task2,Lin,65.0,11.3551,9.4761
task2,Lin,75.0,27.8546,34.328
task2,Lin,85.0,6.2051,4.5935
task2,Lin,95.0,5.3018,7.7952
task2,Log-Bayes,15.0,498.6687,189.7815
task2,Log-Bayes,25.0,497.122,113.9374
task2,Log-Bayes,35.0,431.6564,210.6664
task2,Log-Bayes,45.0,350.9536,250.2946
task2,Log-Bayes,55.0,519.8178,190.7949
task2,Log-Bayes,65.0,201.4067,152.1216
task2,Log-Bayes,75.0,426.616,268.3543
task2,Log-Bayes,85.0,129.6726,87.4817
task2,Log-Bayes,95.0,111.1822,138.0968
task2,Wiener,15.0,178.9165,200.4494
task2,Wiener,25.0,27.0354,18.9199
task2,Wiener,35.0,147.2333,189.0241
task2,Wiener,45.0,21.6058,10.7364
task2,Wiener,55.0,127.6684,203.4106
task2,Wiener,65.0,10.773,10.221
task2,Wiener,75.0,34.7723,45.8817
task2,Wiener,85.0,5.8692,4.8662
task2,Wiener,95.0,5.1505,8.299
task2,Weibull,15.0,205.8921,233.0973
task2,Weibull,25.0,17.3524,16.4383
task2,Weibull,35.0,137.03,193.1397
task2,Weibull,45.0,31.0862,32.7111
task2,Weibull,55.0,130.2404,203.5743
task2,Weibull,65.0,12.756,10.6331
task2,Weibull,75.0,106.1891,198.4308
task2,Weibull,85.0,10.529,11.03
task2,Weibull,95.0,41.4769,139.3524
task3_KCoHCF,SPI+CBU (ours),5.0,192.2337,56.1898
task3_KCoHCF,SPI+CBU (ours),15.0,177.3922,83.4339
task3_KCoHCF,SPI+CBU (ours),25.0,185.2541,136.9537
task3_KCoHCF,SPI+CBU (ours),35.0,177.6603,122.3694
task3_KCoHCF,SPI+CBU (ours),45.0,147.9007,114.7729
task3_KCoHCF,SPI+CBU (ours),55.0,111.3174,88.0371
task3_KCoHCF,SPI+CBU (ours),65.0,140.253,103.0246
task3_KCoHCF,SPI+CBU (ours),75.0,122.2564,93.4494
task3_KCoHCF,SPI+CBU (ours),85.0,105.2793,77.1692
task3_KCoHCF,SPI+CBU (ours),95.0,67.4077,67.9441
task3_KCoHCF,SPI+TBU,5.0,606.7185,520.9462
task3_KCoHCF,SPI+TBU,15.0,652.2728,554.7965
task3_KCoHCF,SPI+TBU,25.0,888.3735,835.9341
task3_KCoHCF,SPI+TBU,35.0,1232.967,1064.8593
task3_KCoHCF,SPI+TBU,45.0,1192.3035,996.6876
task3_KCoHCF,SPI+TBU,55.0,841.7386,746.2758
task3_KCoHCF,SPI+TBU,65.0,603.5705,524.3084
task3_KCoHCF,SPI+TBU,75.0,283.8734,302.5706
task3_KCoHCF,SPI+TBU,85.0,131.1479,82.9518
task3_KCoHCF,SPI+TBU,95.0,87.3154,88.0729
task3_KCoHCF,Lin,5.0,653.5571,554.322
task3_KCoHCF,Lin,15.0,784.1819,748.2081
task3_KCoHCF,Lin,25.0,1118.686,989.801
task3_KCoHCF,Lin,35.0,1360.2705,1074.7246
task3_KCoHCF,Lin,45.0,1319.9416,992.0896
task3_KCoHCF,Lin,55.0,1006.2063,841.0793
task3_KCoHCF,Lin,65.0,825.4613,677.3776
task3_KCoHCF,Lin,75.0,562.816,490.3649
task3_KCoHCF,Lin,85.0,340.1595,285.3378
task3_KCoHCF,Lin,95.0,94.7385,126.1255
task3_KCoHCF,Log-Bayes,5.0,54481.1254,29477.2221
task3_KCoHCF,Log-Bayes,15.0,42303.7479,25886.6168
task3_KCoHCF,Log-Bayes,25.0,28545.8006,22624.9818
task3_KCoHCF,Log-Bayes,35.0,13787.3322,10763.413
task3_KCoHCF,Log-Bayes,45.0,8385.0824,10273.1574
task3_KCoHCF,Log-Bayes,55.0,8463.4212,10067.7673
task3_KCoHCF,Log-Bayes,65.0,6313.623,9436.5874
task3_KCoHCF,Log-Bayes,75.0,5648.2421,9175.1879
task3_KCoHCF,Log-Bayes,85.0,3349.5965,5054.8145
task3_KCoHCF,Log-Bayes,95.0,1425.5764,2076.0644
task3_KCoHCF,Wiener,5.0,16188.4107,21371.8829
task3_KCoHCF,Wiener,15.0,3853.2776,6823.7378
task3_KCoHCF,Wiener,25.0,1613.9577,1037.1642
task3_KCoHCF,Wiener,35.0,1507.9759,1071.995
task3_KCoHCF,Wiener,45.0,1426.4854,998.803
task3_KCoHCF,Wiener,55.0,1086.1573,839.0986
task3_KCoHCF,Wiener,65.0,908.4867,658.6261
task3_KCoHCF,Wiener,75.0,650.0759,469.0234
task3_KCoHCF,Wiener,85.0,391.6073,266.4915
task3_KCoHCF,Wiener,95.0,112.7421,125.4256
task3_KCoHCF,Weibull,5.0,26445.9159,24967.2842
task3_KCoHCF,Weibull,15.0,7494.8752,8731.6424
task3_KCoHCF,Weibull,25.0,4993.6438,8280.9986
task3_KCoHCF,Weibull,35.0,2223.3707,1969.2661
task3_KCoHCF,Weibull,45.0,1642.6061,1030.5368
task3_KCoHCF,Weibull,55.0,1303.5442,834.1939
task3_KCoHCF,Weibull,65.0,1026.441,640.4909
task3_KCoHCF,Weibull,75.0,738.2455,460.0307
task3_KCoHCF,Weibull,85.0,462.9699,275.3787
task3_KCoHCF,Weibull,95.0,159.2357,186.2544
task3_urea,SPI+CBU (ours),5.0,14.4025,17.3704
task3_urea,SPI+CBU (ours),15.0,13.7638,10.2472
task3_urea,SPI+CBU (ours),25.0,13.6768,15.5534
task3_urea,SPI+CBU (ours),35.0,17.3309,17.6258
task3_urea,SPI+CBU (ours),45.0,11.8233,13.3998
task3_urea,SPI+CBU (ours),55.0,13.178,12.8156
task3_urea,SPI+CBU (ours),65.0,13.1523,11.2558
task3_urea,SPI+CBU (ours),75.0,11.0974,7.4097
task3_urea,SPI+CBU (ours),85.0,7.6809,6.3522
task3_urea,SPI+CBU (ours),95.0,5.2614,4.7507
task3_urea,SPI+TBU,5.0,26.6909,32.1197
task3_urea,SPI+TBU,15.0,25.763,31.6888
task3_urea,SPI+TBU,25.0,37.0551,44.5072
task3_urea,SPI+TBU,35.0,48.6744,45.3355
task3_urea,SPI+TBU,45.0,40.8283,43.3151
task3_urea,SPI+TBU,55.0,39.5484,31.5586
task3_urea,SPI+TBU,65.0,29.1882,22.4279
task3_urea,SPI+TBU,75.0,18.9043,12.5211
task3_urea,SPI+TBU,85.0,7.5435,5.8598
task3_urea,SPI+TBU,95.0,3.8449,4.5151
task3_urea,Lin,5.0,27.9214,33.8693
task3_urea,Lin,15.0,29.578,32.963
task3_urea,Lin,25.0,43.811,48.8251
task3_urea,Lin,35.0,55.7169,47.5474
task3_urea,Lin,45.0,43.3719,48.124
task3_urea,Lin,55.0,43.6119,38.0024
task3_urea,Lin,65.0,35.9776,30.8667
task3_urea,Lin,75.0,27.46,21.2466
task3_urea,Lin,85.0,14.5151,14.2384
task3_urea,Lin,95.0,5.2079,6.6349
task3_urea,Log-Bayes,5.0,3103.1117,1273.3201
task3_urea,Log-Bayes,15.0,2739.633,1275.2966
