case,frac_pct,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
KCoHCF 87%,4.2,0.0,0.0,0.0,0.0
KCoHCF 87%,8.3,0.0,0.0,0.3333333333333333,0.5773502691896258
KCoHCF 87%,12.5,0.0,0.0,0.9500000000000001,0.08660254037844388
KCoHCF 87%,16.6,0.0,0.0,0.848,0.014142135623730963
KCoHCF 87%,16.7,0.0,,0.875,
KCoHCF 87%,20.8,0.0,0.0,0.821,0.015556349186103942
KCoHCF 87%,20.9,0.0,,0.732,
KCoHCF 87%,25.0,0.0,0.0,0.8193333333333334,0.17527502198925357
KCoHCF 87%,29.1,0.0,0.0,0.8625,0.19445436482630063
KCoHCF 87%,29.2,0.0,,1.0,
KCoHCF 87%,33.3,0.0,0.0,0.7889999999999999,0.2983990616607231
KCoHCF 87%,33.4,0.0,,1.0,
KCoHCF 87%,37.4,0.0,0.0,0.75,0.3535533905932738
KCoHCF 87%,37.6,0.0,,0.57,
KCoHCF 87%,41.6,0.0,0.0,0.771,0.32385490578343873
KCoHCF 87%,41.7,0.0,,1.0,
KCoHCF 87%,45.7,0.0,,0.002,
KCoHCF 87%,45.8,0.0,,1.0,
KCoHCF 87%,45.9,0.0,,0.592,
KCoHCF 87%,49.9,0.0,0.0,0.264,0.3733523804664971
KCoHCF 87%,50.1,0.0,,0.672,
KCoHCF 87%,54.1,0.0,0.0,0.2685,0.37688791437242986
KCoHCF 87%,54.3,0.0,,0.645,
KCoHCF 87%,58.2,0.0,0.0,0.8049999999999999,0.2757716446627535
KCoHCF 87%,58.4,0.0,,0.69,
KCoHCF 87%,62.4,0.0,0.0,0.6459999999999999,0.07636753236814717
KCoHCF 87%,62.6,0.132,,0.725,
KCoHCF 87%,66.5,0.0,,0.648,
KCoHCF 87%,66.6,0.0,,0.77,
KCoHCF 87%,66.8,0.32,,0.762,
KCoHCF 87%,70.7,0.059,0.0834386001800126,0.738,0.0
KCoHCF 87%,71.0,0.28,,0.765,
KCoHCF 87%,74.9,0.234,0.33092597359530423,0.7515000000000001,0.01909188309203684
KCoHCF 87%,75.1,0.22,,0.732,
KCoHCF 87%,79.0,0.291,0.41153614665057064,0.7585,0.004949747468305877
KCoHCF 87%,79.3,0.168,,0.77,
KCoHCF 87%,83.2,0.2525,0.2722361107568208,0.755,0.009899494936611674
KCoHCF 87%,83.5,0.148,,0.728,
KCoHCF 87%,87.3,0.242,,0.748,
KCoHCF 87%,87.4,0.265,,0.682,
KCoHCF 87%,87.7,0.145,,0.722,
KCoHCF 87%,91.5,0.269,0.1400071426749364,0.7415,0.07566042558696069
KCoHCF 87%,91.8,0.17,,0.718,
KCoHCF 87%,95.6,0.388,,0.795,
KCoHCF 87%,95.7,0.158,,1.0,
KCoHCF 87%,96.0,0.165,,0.545,
KCoHCF 87%,99.8,0.2585,0.3160767311903867,0.831,0.23900209204105308
KCoHCF 87%,100.0,0.17333333333333334,0.21793882933826486,0.5733333333333334,0.5158811232574161
KCoHCF 90%,4.1,1.0,,1.0,
KCoHCF 90%,4.2,0.514,0.684479364188578,0.999,0.0014142135623730963
KCoHCF 90%,8.3,0.296,0.4157787873376899,1.0,0.0
KCoHCF 90%,8.4,1.0,,0.998,
KCoHCF 90%,12.4,0.115,,1.0,
KCoHCF 90%,12.5,0.4975,0.7035712472806148,0.911,0.12586500705120546
KCoHCF 90%,16.6,0.2,,1.0,
KCoHCF 90%,16.7,0.48,0.6675088014401008,0.9450000000000001,0.028284271247461808
KCoHCF 90%,20.7,0.825,,0.75,
KCoHCF 90%,20.8,0.115,,0.922,
KCoHCF 90%,20.9,0.602,,0.78,
KCoHCF 90%,24.8,0.76,,0.968,
KCoHCF 90%,25.0,0.75,,0.96,
KCoHCF 90%,25.1,0.07,,0.57,
KCoHCF 90%,29.0,0.0,,0.99,
KCoHCF 90%,29.2,0.4935,0.6809438302826453,0.8374999999999999,0.19445436482630055
KCoHCF 90%,33.1,0.0,,0.995,
KCoHCF 90%,33.3,0.99,,0.982,
KCoHCF 90%,33.4,0.0,,0.738,
KCoHCF 90%,37.2,0.0,,1.0,
KCoHCF 90%,37.5,0.952,,0.995,
KCoHCF 90%,37.6,0.008,,0.875,
KCoHCF 90%,41.4,0.0,,1.0,
KCoHCF 90%,41.7,0.332,,1.0,
KCoHCF 90%,41.8,0.507,,0.955,
KCoHCF 90%,45.5,0.0,,1.0,
KCoHCF 90%,45.9,0.491,0.6943788591251897,1.0,0.0
KCoHCF 90%,49.7,0.02,,0.98,
KCoHCF 90%,50.0,0.0,,1.0,
KCoHCF 90%,50.1,0.825,,1.0,
KCoHCF 90%,53.8,0.77,,0.965,
KCoHCF 90%,54.2,0.0,,1.0,
KCoHCF 90%,54.3,0.192,,1.0,
KCoHCF 90%,57.9,0.982,,0.918,
KCoHCF 90%,58.4,0.0,,1.0,
KCoHCF 90%,58.5,0.03,,0.988,
KCoHCF 90%,62.1,0.995,,0.982,
KCoHCF 90%,62.5,0.0,,0.862,
KCoHCF 90%,62.6,0.262,,0.985,
KCoHCF 90%,66.2,0.94,,0.955,
KCoHCF 90%,66.7,0.0,,1.0,
KCoHCF 90%,66.8,0.25,,0.938,
KCoHCF 90%,70.3,0.995,,1.0,
KCoHCF 90%,70.9,0.0,,1.0,
KCoHCF 90%,71.0,0.098,,0.782,
KCoHCF 90%,74.5,0.998,,1.0,
KCoHCF 90%,75.0,0.0,,1.0,
KCoHCF 90%,75.2,0.065,,0.742,
KCoHCF 90%,78.6,1.0,,1.0,
KCoHCF 90%,79.2,0.0,,0.852,
KCoHCF 90%,79.3,0.002,,1.0,
KCoHCF 90%,82.8,0.995,,0.998,
KCoHCF 90%,83.4,0.0,,1.0,
KCoHCF 90%,83.5,0.0,,0.518,
KCoHCF 90%,86.9,1.0,,1.0,
KCoHCF 90%,87.5,0.0,,0.918,
KCoHCF 90%,87.7,0.0,,0.588,
KCoHCF 90%,91.0,1.0,,1.0,
KCoHCF 90%,91.7,0.758,,1.0,
KCoHCF 90%,91.9,0.0,,0.61,
KCoHCF 90%,95.2,1.0,,1.0,
KCoHCF 90%,95.9,0.732,,1.0,
KCoHCF 90%,96.0,0.0,,0.71,
KCoHCF 90%,99.3,1.0,,1.0,
KCoHCF 90%,100.0,0.5276666666666666,0.49769100186092713,0.9973333333333333,0.0046188021535170185
Urea 86%,4.0,0.45849999999999996,0.3486036431249679,0.831,0.239002092041053
Urea 86%,4.1,0.03,,1.0,
Urea 86%,7.9,0.148,,0.762,
Urea 86%,8.0,0.525,,0.855,
Urea 86%,8.2,0.018,,0.925,
Urea 86%,11.9,0.105,,0.928,
Urea 86%,12.0,0.492,,0.925,
Urea 86%,12.3,0.02,,0.905,
Urea 86%,15.8,0.132,,0.918,
Urea 86%,15.9,0.51,,0.958,
Urea 86%,16.4,0.005,,0.95,
Urea 86%,19.8,0.11,,0.955,
Urea 86%,19.9,0.42,,0.972,
Urea 86%,20.5,0.005,,0.94,
Urea 86%,23.8,0.032,,0.94,
Urea 86%,23.9,0.328,,0.955,
Urea 86%,24.6,0.0,,0.915,
Urea 86%,27.7,0.01,,0.92,
Urea 86%,27.9,0.12,,0.945,
Urea 86%,28.7,0.0,,0.928,
Urea 86%,31.7,0.0,,0.935,
Urea 86%,31.9,0.022,,0.922,
Urea 86%,32.8,0.0,,0.828,
Urea 86%,35.6,0.0,,0.91,
Urea 86%,35.9,0.005,,0.878,
Urea 86%,36.9,0.0,,0.835,
Urea 86%,39.6,0.0,,0.878,
Urea 86%,39.8,0.0,,0.86,
Urea 86%,41.0,0.0,,0.875,
Urea 86%,43.6,0.0,,0.87,
Urea 86%,43.8,0.0,,0.81,
Urea 86%,45.1,0.0,,0.905,
Urea 86%,47.5,0.0,,0.868,
Urea 86%,47.8,0.0,,0.885,
Urea 86%,49.2,0.0,,0.925,
Urea 86%,51.5,0.0,,0.875,
Urea 86%,51.8,0.0,,0.885,
Urea 86%,53.3,0.002,,0.928,
Urea 86%,55.5,0.0,,0.93,
Urea 86%,55.8,0.0,,0.918,
Urea 86%,57.4,0.055,,0.932,
Urea 86%,59.4,0.0,,0.94,
Urea 86%,59.8,0.0,,0.902,
Urea 86%,61.5,0.478,,0.975,
Urea 86%,63.4,0.018,,0.938,
Urea 86%,63.7,0.0,,0.928,
Urea 86%,65.6,0.92,,0.988,
Urea 86%,67.3,0.04,,0.938,
Urea 86%,67.7,0.015,,0.932,
Urea 86%,69.7,0.97,,1.0,
Urea 86%,71.3,0.108,,0.96,
Urea 86%,71.7,0.028,,0.9,
Urea 86%,73.9,0.95,,0.992,
Urea 86%,75.3,0.415,,0.975,
Urea 86%,75.7,0.025,,0.928,
Urea 86%,78.0,0.862,,0.978,
Urea 86%,79.2,0.622,,0.955,
Urea 86%,79.7,0.055,,0.928,
Urea 86%,82.1,0.715,,0.918,
Urea 86%,83.2,0.782,,0.98,
Urea 86%,83.7,0.092,,0.912,
Urea 86%,86.2,0.662,,0.76,
Urea 86%,87.1,0.852,,0.972,
Urea 86%,87.6,0.178,,0.928,
Urea 86%,90.3,0.55,,1.0,
Urea 86%,91.1,0.778,,0.885,
Urea 86%,91.6,0.235,,0.94,
Urea 86%,94.4,0.348,,1.0,
Urea 86%,95.1,0.588,,0.652,
Urea 86%,95.6,0.28,,0.945,
Urea 86%,98.5,0.095,,1.0,
Urea 86%,99.0,0.448,,0.502,
Urea 86%,99.5,0.365,,0.83,
Urea 86%,99.6,0.3165,0.044547727214752475,0.944,0.008485281374238578
Urea 86%,99.7,0.028,,1.0,
Urea 90%,3.7,0.705,,0.642,
Urea 90%,4.0,0.962,,0.955,
Urea 90%,4.5,0.98,,0.972,
Urea 90%,7.4,0.642,,0.915,
Urea 90%,8.1,0.958,,0.955,
Urea 90%,8.9,0.948,,0.978,
Urea 90%,11.2,0.698,,0.942,
Urea 90%,12.1,0.882,,0.968,
Urea 90%,13.4,0.945,,0.962,
Urea 90%,14.9,0.74,,0.988,
Urea 90%,16.2,0.905,,0.935,
Urea 90%,17.8,0.905,,0.958,
Urea 90%,18.6,0.818,,0.985,
Urea 90%,20.2,0.875,,0.942,
Urea 90%,22.3,0.886,0.008485281374238578,0.9864999999999999,0.012020815280171359
Urea 90%,24.3,0.85,,0.952,
Urea 90%,26.0,0.855,,1.0,
Urea 90%,26.7,0.888,,0.988,
Urea 90%,28.3,0.835,,0.97,
Urea 90%,29.8,0.675,,0.998,
Urea 90%,31.2,0.872,,0.978,
Urea 90%,32.3,0.818,,0.968,
Urea 90%,33.5,0.49,,0.992,
Urea 90%,35.7,0.752,,0.965,
Urea 90%,36.4,0.748,,0.975,
Urea 90%,37.2,0.395,,0.968,
Urea 90%,40.1,0.402,,0.902,
Urea 90%,40.4,0.702,,0.95,
Urea 90%,40.9,0.525,,0.982,
Urea 90%,44.5,0.552,,0.948,
Urea 90%,44.6,0.3865,0.4221427483683689,0.909,0.09758073580374353
Urea 90%,48.3,0.908,,0.99,
Urea 90%,48.5,0.472,,0.932,
Urea 90%,49.0,0.01,,0.77,
Urea 90%,52.1,0.955,,0.995,
Urea 90%,52.6,0.415,,0.922,
Urea 90%,53.5,0.0,,0.768,
Urea 90%,55.8,0.998,,1.0,
Urea 90%,56.6,0.548,,0.94,
Urea 90%,58.0,0.0,,0.835,
Urea 90%,59.5,1.0,,1.0,
Urea 90%,60.6,0.365,,0.882,
Urea 90%,62.4,0.005,,0.862,
Urea 90%,63.2,1.0,,1.0,
Urea 90%,64.7,0.195,,0.792,
Urea 90%,66.9,0.501,0.7056925676241744,0.9475,0.07424621202458748
Urea 90%,68.7,0.155,,0.832,
Urea 90%,70.7,1.0,,1.0,
Urea 90%,71.3,0.0,,0.745,
Urea 90%,72.8,0.308,,0.92,
Urea 90%,74.4,1.0,,1.0,
Urea 90%,75.8,0.0,,0.74,
Urea 90%,76.8,0.832,,0.995,
Urea 90%,78.1,0.998,,0.992,
Urea 90%,80.2,0.0,,0.87,
Urea 90%,80.9,0.99,,1.0,
Urea 90%,81.8,0.978,,0.968,
Urea 90%,84.7,0.0,,0.898,
Urea 90%,84.9,1.0,,1.0,
Urea 90%,85.5,0.912,,0.925,
Urea 90%,88.9,1.0,,1.0,
Urea 90%,89.2,0.0,,0.902,
Urea 90%,89.3,0.948,,0.97,
Urea 90%,93.0,0.984,0.02262741699796954,0.995,0.007071067811865481
Urea 90%,93.6,0.015,,0.908,
Urea 90%,96.7,0.962,,0.968,
Urea 90%,97.0,0.982,,0.82,
Urea 90%,98.1,0.05,,0.928,
Urea 90%,99.2,0.17,,1.0,
Urea 90%,99.6,0.1,,0.948,
Urea 90%,99.7,0.285,,1.0,
