case,replicate,frac_pct,acc_noGM,acc_GM
KCoHCF 90%,1,4.2,0.03,1.0
KCoHCF 90%,1,8.3,0.002,1.0
KCoHCF 90%,1,12.5,0.0,0.822
KCoHCF 90%,1,16.7,0.008,0.925
KCoHCF 90%,1,20.8,0.115,0.922
KCoHCF 90%,1,25.0,0.75,0.96
KCoHCF 90%,1,29.2,0.975,0.975
KCoHCF 90%,1,33.3,0.99,0.982
KCoHCF 90%,1,37.5,0.952,0.995
KCoHCF 90%,1,41.7,0.332,1.0
KCoHCF 90%,1,45.9,0.0,1.0
KCoHCF 90%,1,50.0,0.0,1.0
KCoHCF 90%,1,54.2,0.0,1.0
KCoHCF 90%,1,58.4,0.0,1.0
KCoHCF 90%,1,62.5,0.0,0.862
KCoHCF 90%,1,66.7,0.0,1.0
KCoHCF 90%,1,70.9,0.0,1.0
KCoHCF 90%,1,75.0,0.0,1.0
KCoHCF 90%,1,79.2,0.0,0.852
KCoHCF 90%,1,83.4,0.0,1.0
KCoHCF 90%,1,87.5,0.0,0.918
KCoHCF 90%,1,91.7,0.758,1.0
KCoHCF 90%,1,95.9,0.732,1.0
KCoHCF 90%,1,100.0,0.575,0.992
KCoHCF 90%,2,4.1,1.0,1.0
KCoHCF 90%,2,8.3,0.59,1.0
KCoHCF 90%,2,12.4,0.115,1.0
KCoHCF 90%,2,16.6,0.2,1.0
KCoHCF 90%,2,20.7,0.825,0.75
KCoHCF 90%,2,24.8,0.76,0.968
KCoHCF 90%,2,29.0,0.0,0.99
KCoHCF 90%,2,33.1,0.0,0.995
KCoHCF 90%,2,37.2,0.0,1.0
KCoHCF 90%,2,41.4,0.0,1.0
KCoHCF 90%,2,45.5,0.0,1.0
KCoHCF 90%,2,49.7,0.02,0.98
KCoHCF 90%,2,53.8,0.77,0.965
KCoHCF 90%,2,57.9,0.982,0.918
KCoHCF 90%,2,62.1,0.995,0.982
KCoHCF 90%,2,66.2,0.94,0.955
KCoHCF 90%,2,70.3,0.995,1.0
KCoHCF 90%,2,74.5,0.998,1.0
KCoHCF 90%,2,78.6,1.0,1.0
KCoHCF 90%,2,82.8,0.995,0.998
KCoHCF 90%,2,86.9,1.0,1.0
KCoHCF 90%,2,91.0,1.0,1.0
KCoHCF 90%,2,95.2,1.0,1.0
KCoHCF 90%,2,99.3,1.0,1.0
