task,panel,method,n,RUL_MAE,RUL_RMSE,track_MAE,track_RMSE
Task 1,Hu pH 7 | KCuHCF,SPI+CBU (ours),9,6.103,6.955,9.756,20.274
Task 1,Hu pH 7 | KCuHCF,SPI+TBU,9,40.613,50.05,14.901,21.607
Task 1,Hu pH 7 | KCuHCF,Lin,9,31.357,38.548,18.773,23.751
Task 1,Hu pH 7 | KCuHCF,Log-Bayes,9,62.54,64.313,14.995,16.975
Task 1,Hu pH 7 | KCuHCF,Wiener,9,40.889,50.526,12.091,12.438
Task 1,Hu pH 7 | KCuHCF,Weibull,9,40.889,50.526,15.086,15.224
Task 1,Hu pH 7 | KFeHCF,SPI+CBU (ours),9,7.311,7.993,2.753,3.882
Task 1,Hu pH 7 | KFeHCF,SPI+TBU,9,14.327,17.367,3.199,4.608
Task 1,Hu pH 7 | KFeHCF,Lin,9,25.833,30.207,13.323,15.152
Task 1,Hu pH 7 | KFeHCF,Log-Bayes,9,22.911,24.235,4.472,4.803
Task 1,Hu pH 7 | KFeHCF,Wiener,9,38.252,46.416,9.396,9.887
Task 1,Hu pH 7 | KFeHCF,Weibull,9,37.149,44.746,9.755,10.613
Task 1,Hu pH 7 | KMnHCF,SPI+CBU (ours),9,5.637,6.126,3.081,4.743
Task 1,Hu pH 7 | KMnHCF,SPI+TBU,6,45.154,55.129,5.849,6.536
Task 1,Hu pH 7 | KMnHCF,Lin,9,31.878,38.181,8.308,8.87
Task 1,Hu pH 7 | KMnHCF,Log-Bayes,9,47.289,51.827,7.529,8.332
Task 1,Hu pH 7 | KMnHCF,Wiener,9,40.713,50.221,6.086,6.504
Task 1,Hu pH 7 | KMnHCF,Weibull,9,40.739,50.267,8.422,8.903
Task 1,Hu pH 7 | KNiHCF,SPI+CBU (ours),9,1.528,1.883,4.003,10.383
Task 1,Hu pH 7 | KNiHCF,SPI+TBU,9,9.234,10.542,4.204,10.41
Task 1,Hu pH 7 | KNiHCF,Lin,9,5.443,5.85,4.422,10.907
Task 1,Hu pH 7 | KNiHCF,Log-Bayes,6,646.241,872.62,6.623,7.241
Task 1,Hu pH 7 | KNiHCF,Wiener,9,9.898,13.687,0.574,0.707
Task 1,Hu pH 7 | KNiHCF,Weibull,9,16.014,21.372,1.731,1.883
Task 1,Hu pH 7 | NaCoHCF,SPI+CBU (ours),9,8.689,9.307,6.227,10.605
Task 1,Hu pH 7 | NaCoHCF,SPI+TBU,9,29.173,34.51,7.864,11.505
Task 1,Hu pH 7 | NaCoHCF,Lin,9,27.534,32.364,14.108,15.349
Task 1,Hu pH 7 | NaCoHCF,Log-Bayes,9,167.141,422.594,8.6,11.718
Task 1,Hu pH 7 | NaCoHCF,Wiener,9,35.879,43.214,7.923,8.504
Task 1,Hu pH 7 | NaCoHCF,Weibull,9,38.888,47.295,23.932,25.851
Task 1,Hu pH 7 | NaFeHCF,SPI+CBU (ours),9,3.99,5.086,4.569,8.918
Task 1,Hu pH 7 | NaFeHCF,SPI+TBU,9,17.955,29.454,5.552,9.287
Task 1,Hu pH 7 | NaFeHCF,Lin,9,12.594,18.354,6.467,10.123
Task 1,Hu pH 7 | NaFeHCF,Log-Bayes,7,276.138,436.056,7.922,8.18
Task 1,Hu pH 7 | NaFeHCF,Wiener,9,15.712,17.778,1.92,2.554
Task 1,Hu pH 7 | NaFeHCF,Weibull,9,17.525,19.845,3.253,4.253
Task 1,Hu pH 7 | NaMnHCF,SPI+CBU (ours),9,1.922,2.409,3.913,8.681
Task 1,Hu pH 7 | NaMnHCF,SPI+TBU,9,12.288,14.313,3.988,8.673
Task 1,Hu pH 7 | NaMnHCF,Lin,9,16.987,20.248,5.298,9.454
Task 1,Hu pH 7 | NaMnHCF,Log-Bayes,9,298.722,508.346,3.223,3.573
Task 1,Hu pH 7 | NaMnHCF,Wiener,9,23.465,30.862,1.391,1.555
Task 1,Hu pH 7 | NaMnHCF,Weibull,9,30.34,37.716,3.25,3.53
Task 1,Hu pH 7 | NaNiHCF,SPI+CBU (ours),9,6.661,7.155,2.356,3.92
Task 1,Hu pH 7 | NaNiHCF,SPI+TBU,9,24.792,33.245,3.206,4.355
Task 1,Hu pH 7 | NaNiHCF,Lin,9,28.479,33.576,6.761,7.351
Task 1,Hu pH 7 | NaNiHCF,Log-Bayes,9,22.976,30.138,3.084,4.215
Task 1,Hu pH 7 | NaNiHCF,Wiener,9,38.923,47.706,4.103,4.338
