task,method,RUL_MAE,RUL_RMSE,track_MAE,track_RMSE,n_panels
Task 1,Lin,25.242,31.318,11.156,14.353,56
Task 1,Log-Bayes,197.437,282.261,8.244,9.519,56
Task 1,SPI+CBU (ours),6.271,7.065,5.739,10.847,56
Task 1,SPI+TBU,29.471,37.798,7.53,11.568,56
Task 1,Weibull,64.249,87.107,13.737,14.985,56
Task 1,Wiener,57.671,80.323,6.349,6.785,56
Task 2,Lin,19.852,23.508,2.281,2.633,10
Task 2,Log-Bayes,308.298,356.094,2.406,2.816,10
Task 2,SPI+CBU (ours),6.603,8.758,1.649,2.107,10
Task 2,SPI+TBU,24.848,33.202,2.019,2.38,10
Task 2,Weibull,77.422,91.812,1.786,2.092,10
Task 2,Wiener,56.906,74.908,1.069,1.335,10
Task 3 KCoHCF,Lin,777.328,894.826,0.702,0.854,6
Task 3 KCoHCF,Log-Bayes,15924.761,26000.796,0.945,1.121,6
Task 3 KCoHCF,SPI+CBU (ours),137.746,155.174,0.276,0.424,6
Task 3 KCoHCF,SPI+TBU,623.902,763.31,0.44,0.566,6
Task 3 KCoHCF,Weibull,4103.613,9100.786,1.489,1.71,6
Task 3 KCoHCF,Wiener,2413.599,6546.978,0.961,1.105,6
Task 3 Urea,Lin,31.418,35.912,0.629,0.717,6
Task 3 Urea,Log-Bayes,811.234,1356.098,0.934,1.118,6
Task 3 Urea,SPI+CBU (ours),11.7,13.205,0.294,0.368,6
Task 3 Urea,SPI+TBU,26.675,31.706,0.374,0.446,6
Task 3 Urea,Weibull,41.2,48.538,1.401,1.747,6
Task 3 Urea,Wiener,39.493,45.64,0.759,0.932,6
