trajectory,electrolyte,electrode,method,cycle,actual_retention,true_RUL,pred_RUL,RUL_lo90,RUL_hi90,pred_retention,retention_lo,retention_hi,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),12,10.113686,88,93,68,118,67.39336233,22.00760591,112.7791187,49.63228039,136.3677196
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),24,4.152694,76,81,56,106,-15.34590479,-42.92179316,12.22998358,37.63228039,124.3677196
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),36,2.654604,64,67.97402685,67.97402685,67.97402685,-2.830022986,-37.74379657,32.0837506,67.97402511,67.97402858
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),48,2.051286,52,47.28356172,35.32835617,59.23876728,3.221834257,-15.82040634,22.26407485,26.54476164,68.02236181
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),60,1.740988,40,32.92099476,20.91681064,62.55,3.893659965,-7.89105052,15.67837045,0,69.03172441
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),72,1.571346,28,20.92099476,9.619409794,46,2.920945147,-8.812057169,14.65394746,0,52.47585947
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),84,1.465448,16,8.920994764,1.044996347,27.88396188,2.00654659,-9.729064073,13.74215725,0,32.1998894
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),96,1.395282,4,5,0,17.36312203,1.137748653,-10.60589356,12.88139087,0,20.05998016
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),100,1.379076,0,14,0.439858171,27.94917945,1.447318659,-10.49162216,13.38625948,0,37.86033063
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,12,10.113686,88,2.48287481,0.721384409,5.36614158,67.39336233,22.00760591,112.7791187,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,24,4.152694,76,0,0,0,-15.34590479,-29.46146208,-1.230347505,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,36,2.654604,64,0,0,0,-10.07414736,-22.96698996,2.818695241,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,48,2.051286,52,0,0,0,-1.073659923,-13.81091419,11.66359434,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,60,1.740988,40,0,0,0,6.212385331,-6.436212038,18.8609827,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,72,1.571346,28,0,0,0,10.21342139,-2.309295285,22.73613806,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,84,1.465448,16,0,0,0,11.7463183,-0.646233655,24.13887025,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,96,1.395282,4,0,0,0,12.03437787,-0.247151743,24.31590749,,
