trajectory,method,cycle,actual_retention,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KNiHCF,SPI+CBU (ours),14,97.64859615,49.55591164,61.71959206,95.12432009,32.05119461,91.38798951
Hu pH 7 | KNiHCF,SPI+CBU (ours),28,92.47375692,35.55591164,43.33280128,92.69832706,25.21473083,61.45087173
Hu pH 7 | KNiHCF,SPI+CBU (ours),42,87.26530538,21.55591164,19.64981214,88.02301911,0,44.4221938
Hu pH 7 | KNiHCF,SPI+CBU (ours),56,82.97362538,7.555911643,6.944263282,82.15051926,0,28.97760035
Hu pH 7 | KNiHCF,SPI+CBU (ours),63,80.20735462,0.555911643,1,79.97092923,0,19.28720761
Hu pH 7 | KNiHCF,SPI+TBU,14,97.64859615,49.55591164,62,95.12432009,,
Hu pH 7 | KNiHCF,SPI+TBU,28,92.47375692,35.55591164,43.33280128,93.58766913,,
Hu pH 7 | KNiHCF,SPI+TBU,42,87.26530538,21.55591164,19,89.13120279,,
Hu pH 7 | KNiHCF,SPI+TBU,56,82.97362538,7.555911643,6.888526565,81.9065262,,
Hu pH 7 | KNiHCF,SPI+TBU,63,80.20735462,0.555911643,0.728132838,79.90074202,,
Hu pH 7 | KNiHCF,Lin,14,97.64859615,49.55591164,63.24100709,95.07839984,,
Hu pH 7 | KNiHCF,Lin,28,92.47375692,35.55591164,49.87745428,93.13446985,,
Hu pH 7 | KNiHCF,Lin,42,87.26530538,21.55591164,25.20015785,89.69409003,,
Hu pH 7 | KNiHCF,Lin,56,82.97362538,7.555911643,9.876517282,83.55136569,,
Hu pH 7 | KNiHCF,Lin,63,80.20735462,0.555911643,2,80.78756494,,
Hu pH 7 | NaMnHCF,SPI+CBU (ours),14,93.55977846,45.29006408,57,95.69830459,32.22323322,81.77676678
Hu pH 7 | NaMnHCF,SPI+CBU (ours),28,86.15354154,31.29006408,32.83758736,87.23592202,5.618831299,60.05634341
Hu pH 7 | NaMnHCF,SPI+CBU (ours),42,82.09298385,17.29006408,16,82.62559805,0,41.30977583
Hu pH 7 | NaMnHCF,SPI+CBU (ours),56,80.65910692,3.290064077,2.853533984,80.37642314,0,25.78575011
Hu pH 7 | NaMnHCF,SPI+CBU (ours),59,80.09920615,0.290064077,2.242353251,79.95633013,0,22.68156753
Hu pH 7 | NaMnHCF,SPI+TBU,14,93.55977846,45.29006408,58.76607361,95.69830459,,
Hu pH 7 | NaMnHCF,SPI+TBU,28,86.15354154,31.29006408,18.024315,90.41029195,,
Hu pH 7 | NaMnHCF,SPI+TBU,42,82.09298385,17.29006408,4.355001701,81.45118625,,
Hu pH 7 | NaMnHCF,SPI+TBU,56,80.65910692,3.290064077,0,76.50788899,,
Hu pH 7 | NaMnHCF,SPI+TBU,59,80.09920615,0.290064077,0,78.47807038,,
Hu pH 7 | NaMnHCF,Lin,14,93.55977846,45.29006408,57.90369707,95.52958491,,
Hu pH 7 | NaMnHCF,Lin,28,86.15354154,31.29006408,22.86452865,91.49987221,,
Hu pH 7 | NaMnHCF,Lin,42,82.09298385,17.29006408,4.973873733,83.1860641,,
Hu pH 7 | NaMnHCF,Lin,56,80.65910692,3.290064077,0,76.30631286,,
Hu pH 7 | NaMnHCF,Lin,59,80.09920615,0.290064077,0,77.22726915,,
Hu pH 9 | NaMnHCF,SPI+CBU (ours),14,95.89890692,68.13767025,63.14739415,95.42188354,35.47057138,90.82421692
Hu pH 9 | NaMnHCF,SPI+CBU (ours),28,90.00239385,54.13767025,43.7728807,92.03113917,14.63964717,72.90611424
Hu pH 9 | NaMnHCF,SPI+CBU (ours),42,87.57067615,40.13767025,29.93517282,86.3711615,4.438444918,55.43190073
Hu pH 9 | NaMnHCF,SPI+CBU (ours),56,85.29028385,26.13767025,20,84.836327,0.53979339,39.46020661
Hu pH 9 | NaMnHCF,SPI+CBU (ours),70,83.19146538,12.13767025,14,82.64666166,0.965702425,27.03429757
Hu pH 9 | NaMnHCF,SPI+CBU (ours),82,80.05147385,0.137670246,3.886741325,80.35902659,0,15.05662537
Hu pH 9 | NaMnHCF,SPI+TBU,14,95.89890692,68.13767025,57.80739415,95.42188354,,
Hu pH 9 | NaMnHCF,SPI+TBU,28,90.00239385,54.13767025,30.46455639,92.03287511,,
Hu pH 9 | NaMnHCF,SPI+TBU,42,87.57067615,40.13767025,23,85.56251149,,
Hu pH 9 | NaMnHCF,SPI+TBU,56,85.29028385,26.13767025,22,82.60138074,,
Hu pH 9 | NaMnHCF,SPI+TBU,70,83.19146538,12.13767025,15.88674132,81.56313238,,
Hu pH 9 | NaMnHCF,SPI+TBU,82,80.05147385,0.137670246,4,80.56978805,,
Hu pH 9 | NaMnHCF,Lin,14,95.89890692,68.13767025,56.86134511,95.32042397,,
Hu pH 9 | NaMnHCF,Lin,28,90.00239385,54.13767025,32.43549666,92.08750812,,
Hu pH 9 | NaMnHCF,Lin,42,87.57067615,40.13767025,20.88852656,86.22145135,,
Hu pH 9 | NaMnHCF,Lin,56,85.29028385,26.13767025,14.86134511,82.19340276,,
Hu pH 9 | NaMnHCF,Lin,70,83.19146538,12.13767025,7.241007089,80.12246999,,
Hu pH 9 | NaMnHCF,Lin,82,80.05147385,0.137670246,0,78.83803184,,
