material,threshold,replicate,RUL_MAE,track_RMSE,cov90
KCoHCF,90.0,1,31.281760365111374,0.3203583833761311,96.0
KCoHCF,90.0,2,101.0355356106772,0.3816260594496976,80.0
KCoHCF,90.0,3,65.96623872994671,0.2533773406498125,92.0
KCoHCF,87.0,1,167.4230455171746,0.7292513629182796,100.0
KCoHCF,87.0,2,211.8283126947445,0.4828079289396057,92.0
KCoHCF,87.0,3,248.9418369212464,0.3738299236294533,76.0
Urea,90.0,1,1.0754491392646737,0.1235652345777469,100.0
Urea,90.0,2,5.959116105595253,0.2182819091060328,96.0
Urea,90.0,3,5.824753726347575,0.1603870944765291,74.0
Urea,86.0,1,8.01454300065799,0.5958416645118833,100.0
Urea,86.0,2,27.54873331397262,0.6527709992394564,88.0
Urea,86.0,3,21.77417175999705,0.4545719229195588,80.0
