material,threshold,replicate,method,band_lo,band_hi,true_life,RUL_MAE,track_RMSE,cov90,,
KCoHCF,90,1,SPI+CBU (ours),1208.424464,1389.174572,1367.459754,31.28176037,0.320358383,96,,0.318453928
KCoHCF,90,1,SPI+TBU,1208.424464,1389.174572,1367.459754,164.3571559,0.36103249,,,0.372393359
KCoHCF,90,1,Lin,1208.424464,1389.174572,1367.459754,203.2976642,0.483263401,,,0.434144845
KCoHCF,90,2,SPI+CBU (ours),1208.424464,1389.174572,1208.424464,101.0355356,0.381626059,80,,
KCoHCF,90,2,SPI+TBU,1208.424464,1389.174572,1208.424464,120.4792785,0.498554293,,,
KCoHCF,90,2,Lin,1208.424464,1389.174572,1208.424464,146.6509357,0.540599522,,,
KCoHCF,90,3,SPI+CBU (ours),1208.424464,1389.174572,1389.174572,65.96623873,0.253377341,92,,
KCoHCF,90,3,SPI+TBU,1208.424464,1389.174572,1389.174572,102.2083333,0.257593294,,,
KCoHCF,90,3,Lin,1208.424464,1389.174572,1389.174572,130.2195059,0.278571611,,,
KCoHCF,87,1,SPI+CBU (ours),4064.096538,4591.447132,4064.096538,167.4230455,0.729251363,100,,0.528629738
KCoHCF,87,1,SPI+TBU,4064.096538,4591.447132,4064.096538,964.9025977,1.099187571,,,0.758531955
KCoHCF,87,1,Lin,4064.096538,4591.447132,4064.096538,1126.088796,1.535866131,,,1.272868983
KCoHCF,87,2,SPI+CBU (ours),4064.096538,4591.447132,4527.645168,211.8283127,0.482807929,92,,
KCoHCF,87,2,SPI+TBU,4064.096538,4591.447132,4527.645168,1153.951284,0.610156531,,,
KCoHCF,87,2,Lin,4064.096538,4591.447132,4527.645168,1553.297051,1.162243914,,,
KCoHCF,87,3,SPI+CBU (ours),4064.096538,4591.447132,4591.447132,248.9418369,0.373829924,76,,
KCoHCF,87,3,SPI+TBU,4064.096538,4591.447132,4591.447132,1237.514783,0.566251763,,,
KCoHCF,87,3,Lin,4064.096538,4591.447132,4591.447132,1504.411672,1.120496905,,,
Urea,90,1,SPI+CBU (ours),67.29592191,80.66617893,74.20000396,1.075449139,0.123565235,100,,0.167411413
Urea,90,1,SPI+TBU,67.29592191,80.66617893,74.20000396,4.603272262,0.172042819,,,0.207019465
Urea,90,1,Lin,67.29592191,80.66617893,74.20000396,3.108815314,0.210262019,,,0.233262026
Urea,90,2,SPI+CBU (ours),67.29592191,80.66617893,67.29592191,5.959116106,0.218281909,96,,
Urea,90,2,SPI+TBU,67.29592191,80.66617893,67.29592191,5.07459846,0.217227534,,,
Urea,90,2,Lin,67.29592191,80.66617893,67.29592191,5.094358189,0.236409764,,,
Urea,90,3,SPI+CBU (ours),67.29592191,80.66617893,80.66617893,5.824753726,0.160387094,74,,
Urea,90,3,SPI+TBU,67.29592191,80.66617893,80.66617893,5.793199767,0.231788042,,,
Urea,90,3,Lin,67.29592191,80.66617893,80.66617893,5.152998044,0.253114295,,,
Urea,86,1,SPI+CBU (ours),175.7105084,243.734456,201.9712267,8.014543001,0.595841665,100,,0.567728196
Urea,86,1,SPI+TBU,175.7105084,243.734456,201.9712267,46.39486513,0.648909839,,,0.684189235
Urea,86,1,Lin,175.7105084,243.734456,201.9712267,56.12365334,1.164567218,,,1.201351279
Urea,86,2,SPI+CBU (ours),175.7105084,243.734456,175.7105084,27.54873331,0.652770999,88,,
Urea,86,2,SPI+TBU,175.7105084,243.734456,175.7105084,27.44588361,0.706224388,,,
Urea,86,2,Lin,175.7105084,243.734456,175.7105084,37.76594132,1.23916129,,,
Urea,86,3,SPI+CBU (ours),175.7105084,243.734456,243.734456,21.77417176,0.454571923,80,,
Urea,86,3,SPI+TBU,175.7105084,243.734456,243.734456,70.74017326,0.697433478,,,
Urea,86,3,Lin,175.7105084,243.734456,243.734456,81.26346032,1.200325329,,,
