panel,x,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
Task 1,12.0,0.1315178571428571,0.159140931375184,1.0,0.0
Task 1,24.0,0.16375,0.1880673235355312,0.8924553571428572,0.1385997270358624
Task 1,36.0,0.2083928571428571,0.266755092211525,0.8455357142857143,0.1622937252229834
Task 1,48.0,0.2190178571428571,0.2849655794890086,0.8492410714285714,0.1569126274271891
Task 1,60.0,0.2682142857142857,0.3284667252712055,0.8482589285714285,0.142940642196537
Task 1,72.0,0.3345089285714286,0.3822048533428522,0.8670982142857142,0.1351537649441236
Task 1,84.0,0.3530803571428572,0.3985245489961657,0.8436160714285714,0.1618149333223108
Task 1,96.0,0.2520089285714286,0.3302799844081523,0.8719196428571429,0.2360262846839061
Task 1,100.0,0.1964732142857143,0.2743802010423237,0.7706696428571428,0.2404675800636924
Task 2,14.110171383388684,0.7594999999999998,0.286637401606978,0.7617499999999999,0.2814783517430781
Task 2,19.16251424318935,0.7398587477247179,0.2904190429128732,0.7665333489887765,0.2729391313415111
Task 2,24.214857102990017,0.7045028055038287,0.3035904008319494,0.798483682894479,0.2099779736383111
Task 2,29.26719996279068,0.6409519180937997,0.3160079069817874,0.8351451790417169,0.1467557241646195
Task 2,34.319542822591345,0.5682348259466632,0.3350746443457973,0.8700611151473723,0.1077185849027533
Task 2,39.37188568239202,0.5359210943196485,0.366576847410787,0.9040377331683682,0.086785960309779
Task 2,44.42422854219268,0.5168296690550218,0.4111387948779096,0.9162442308342604,0.1083634888574034
Task 2,49.47657140199334,0.5167953026656893,0.4362797029327816,0.9185784235558234,0.1286058269496081
Task 2,54.528914261794014,0.5245685012588289,0.4436535139139282,0.9302468566109404,0.1158907678797981
Task 2,59.58125712159468,0.5238092942039172,0.4422609673168612,0.9306907380307236,0.1015139710114415
Task 2,64.63359998139534,0.5421896837996668,0.4232525095487835,0.9252970364905784,0.0994180094063516
Task 2,69.68594284119601,0.5607070296310246,0.416340130053345,0.907364528552964,0.1122244858628634
Task 2,74.73828570099667,0.5857443217913688,0.4127136578474072,0.9096633132095252,0.1022234622703987
Task 2,79.79062856079734,0.6220758396611082,0.4146082692912161,0.9176791317332734,0.1055957529266608
Task 2,84.842971420598,0.6476937420921663,0.4167323748172706,0.932037671041518,0.1118103557334338
Task 2,89.89531428039868,0.6628361241197485,0.4082659973637388,0.928085558915144,0.1054842699556446
Task 2,94.94765714019934,0.6370030285612256,0.38501106749498,0.8815983524820317,0.1192062917841248
Task 2,100.0,0.6165,0.3687007594242246,0.8355,0.1843630928358493
Task 3 (KCoHCF 87%),4.2,0.0,0.0,0.0,0.0
Task 3 (KCoHCF 87%),8.3,0.0,0.0,0.3333333333333333,0.5773502691896258
Task 3 (KCoHCF 87%),12.5,0.0,0.0,0.95,0.0866025403784438
Task 3 (KCoHCF 87%),16.6,0.0,0.0,0.848,0.0141421356237309
Task 3 (KCoHCF 87%),16.7,0.0,,0.875,
Task 3 (KCoHCF 87%),20.8,0.0,0.0,0.821,0.0155563491861039
Task 3 (KCoHCF 87%),20.9,0.0,,0.732,
Task 3 (KCoHCF 87%),25.0,0.0,0.0,0.8193333333333334,0.1752750219892535
Task 3 (KCoHCF 87%),29.1,0.0,0.0,0.8625,0.1944543648263006
Task 3 (KCoHCF 87%),29.2,0.0,,1.0,
Task 3 (KCoHCF 87%),33.3,0.0,0.0,0.7889999999999999,0.2983990616607231
Task 3 (KCoHCF 87%),33.4,0.0,,1.0,
