trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 7 | KCuHCF,SPI+CBU (ours),24,76,81.0,37.63228039,124.3677196
Hu pH 7 | KCuHCF,SPI+CBU (ours),36,64,67.97402685,67.97402511,67.97402858
Hu pH 7 | KCuHCF,SPI+CBU (ours),48,52,47.28356172,26.54476164,68.02236181
Hu pH 7 | KCuHCF,SPI+CBU (ours),60,40,32.92099476,0.0,69.03172441
Hu pH 7 | KCuHCF,SPI+CBU (ours),72,28,20.92099476,0.0,52.47585947
Hu pH 7 | KCuHCF,SPI+CBU (ours),84,16,8.920994764,0.0,32.1998894
Hu pH 7 | KCuHCF,SPI+CBU (ours),96,4,5.0,0.0,20.05998016
Hu pH 7 | KCuHCF,SPI+CBU (ours),100,0,14.0,0.0,37.86033063
Hu pH 7 | KCuHCF,SPI+TBU,12,88,2.48287481,,
Hu pH 7 | KCuHCF,SPI+TBU,24,76,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,36,64,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,48,52,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,60,40,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,72,28,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,84,16,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,96,4,0.0,,
Hu pH 7 | KCuHCF,SPI+TBU,100,0,0.0,,
Hu pH 7 | KCuHCF,Lin,12,88,69.61940979,,
Hu pH 7 | KCuHCF,Lin,24,76,16.17062547,,
Hu pH 7 | KCuHCF,Lin,36,64,0.0,,
Hu pH 7 | KCuHCF,Lin,48,52,0.0,,
Hu pH 7 | KCuHCF,Lin,60,40,0.0,,
Hu pH 7 | KCuHCF,Lin,72,28,0.0,,
Hu pH 7 | KCuHCF,Lin,84,16,0.0,,
Hu pH 7 | KCuHCF,Lin,96,4,0.0,,
Hu pH 7 | KCuHCF,Lin,100,0,0.0,,
Hu pH 7 | KCuHCF,Log-Bayes,12,88,1.135926977,,
Hu pH 7 | KCuHCF,Log-Bayes,24,76,-4.0,,
Hu pH 7 | KCuHCF,Log-Bayes,36,64,-10.0,,
Hu pH 7 | KCuHCF,Log-Bayes,48,52,-16.0,,
Hu pH 7 | KCuHCF,Log-Bayes,60,40,-22.0,,
Hu pH 7 | KCuHCF,Log-Bayes,72,28,-28.0,,
Hu pH 7 | KCuHCF,Log-Bayes,84,16,-34.0,,
Hu pH 7 | KCuHCF,Log-Bayes,96,4,-40.0,,
Hu pH 7 | KCuHCF,Log-Bayes,100,0,-42.0,,
Hu pH 7 | KFeHCF,SPI+CBU (ours),12,88,91.0,55.7498487,126.2501513
Hu pH 7 | KFeHCF,SPI+CBU (ours),24,76,68.92099476,38.37455581,99.46743372
Hu pH 7 | KFeHCF,SPI+CBU (ours),36,64,54.0,29.97266772,78.02733228
Hu pH 7 | KFeHCF,SPI+CBU (ours),48,52,41.76252837,19.39413951,64.13091723
Hu pH 7 | KFeHCF,SPI+CBU (ours),60,40,29.76252837,11.10429359,48.42076316
Hu pH 7 | KFeHCF,SPI+CBU (ours),72,28,19.0,0.0,38.29090606
Hu pH 7 | KFeHCF,SPI+CBU (ours),84,16,8.0,0.0,22.99657271
Hu pH 7 | KFeHCF,SPI+CBU (ours),96,4,3.575248158,0.0,14.85085526
