material,threshold,replicate,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,1,SPI+CBU (ours),57.0,1310.4597537274692,1154.5,987.4278940631156,1321.5721059368843
KCoHCF,90.0,1,SPI+CBU (ours),114.0,1253.4597537274692,1097.5,930.4278940631156,1264.5721059368843
KCoHCF,90.0,1,SPI+CBU (ours),171.0,1196.4597537274692,1134.5,967.4278940631156,1301.5721059368843
KCoHCF,90.0,1,SPI+CBU (ours),228.0,1139.4597537274692,1057.0,889.9278940631157,1224.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),285.0,1082.4597537274692,1031.0,863.9278940631157,1198.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),342.0,1025.4597537274692,1006.5,908.1054490597476,1104.8945509402524
KCoHCF,90.0,1,SPI+CBU (ours),399.0,968.4597537274692,960.0,880.7852229630845,1039.2147770369154
KCoHCF,90.0,1,SPI+CBU (ours),456.0,911.4597537274692,889.0,811.3565779334784,966.6434220665216
KCoHCF,90.0,1,SPI+CBU (ours),513.0,854.4597537274692,828.0,750.1831369008918,905.8168630991082
KCoHCF,90.0,1,SPI+CBU (ours),570.0,797.4597537274692,787.5,720.9947116942116,854.0052883057884
KCoHCF,90.0,1,SPI+CBU (ours),627.0,740.4597537274692,746.0,578.9278940631157,913.0721059368844
KCoHCF,90.0,1,SPI+CBU (ours),684.0,683.4597537274692,696.0,528.9278940631157,863.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),741.0,626.4597537274692,639.0,471.9278940631157,806.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),798.0,569.4597537274692,586.0,461.58565940293096,710.414340597069
KCoHCF,90.0,1,SPI+CBU (ours),855.0,512.4597537274692,506.0,383.0183654053489,628.9816345946512
KCoHCF,90.0,1,SPI+CBU (ours),912.0,455.4597537274692,466.0,372.9234418705146,559.0765581294854
KCoHCF,90.0,1,SPI+CBU (ours),969.0,398.4597537274692,415.0,354.8725642211044,475.1274357788956
KCoHCF,90.0,1,SPI+CBU (ours),1026.0,341.4597537274692,360.0,321.9177501292775,398.0822498707225
KCoHCF,90.0,1,SPI+CBU (ours),1083.0,284.4597537274692,281.8445882100318,248.01424002390456,315.67493639615907
KCoHCF,90.0,1,SPI+CBU (ours),1140.0,227.4597537274692,248.3483146078896,228.7988101232833,267.8978190924959
KCoHCF,90.0,1,SPI+CBU (ours),1197.0,170.4597537274692,169.0,139.42155349846797,198.57844650153203
KCoHCF,90.0,1,SPI+CBU (ours),1254.0,113.4597537274692,91.0,48.75828108999958,133.24171891000043
KCoHCF,90.0,1,SPI+CBU (ours),1311.0,56.459753727469206,47.0,16.959390271881542,77.04060972811845
KCoHCF,90.0,1,SPI+CBU (ours),1367.0,0.4597537274692058,1.0,0.0,16.158953832035138
KCoHCF,90.0,1,SPI+TBU,57.0,1310.4597537274692,1118.0,,
KCoHCF,90.0,1,SPI+TBU,114.0,1253.4597537274692,1041.0,,
KCoHCF,90.0,1,SPI+TBU,171.0,1196.4597537274692,982.0,,
KCoHCF,90.0,1,SPI+TBU,228.0,1139.4597537274692,926.0,,
KCoHCF,90.0,1,SPI+TBU,285.0,1082.4597537274692,892.0,,
KCoHCF,90.0,1,SPI+TBU,342.0,1025.4597537274692,888.0,,
KCoHCF,90.0,1,SPI+TBU,399.0,968.4597537274692,912.0,,
KCoHCF,90.0,1,SPI+TBU,456.0,911.4597537274692,842.5216894039313,,
KCoHCF,90.0,1,SPI+TBU,513.0,854.4597537274692,809.0,,
KCoHCF,90.0,1,SPI+TBU,570.0,797.4597537274692,834.0,,
KCoHCF,90.0,1,SPI+TBU,627.0,740.4597537274692,893.6982402363847,,
KCoHCF,90.0,1,SPI+TBU,684.0,683.4597537274692,958.0,,
KCoHCF,90.0,1,SPI+TBU,741.0,626.4597537274692,1005.0,,
KCoHCF,90.0,1,SPI+TBU,798.0,569.4597537274692,1021.0,,
KCoHCF,90.0,1,SPI+TBU,855.0,512.4597537274692,827.0,,
KCoHCF,90.0,1,SPI+TBU,912.0,455.4597537274692,733.5,,
KCoHCF,90.0,1,SPI+TBU,969.0,398.4597537274692,634.0,,
