trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90,cov90
Hu pH 7 | KNiHCF,SPI+CBU (ours),14,49.55591164,61.71959206,32.05119461,91.38798951,100
Hu pH 7 | KNiHCF,SPI+CBU (ours),28,35.55591164,43.33280128,25.21473083,61.45087173,100
Hu pH 7 | KNiHCF,SPI+CBU (ours),42,21.55591164,19.64981214,0,44.4221938,100
Hu pH 7 | KNiHCF,SPI+CBU (ours),56,7.555911643,6.944263282,0,28.97760035,100
Hu pH 7 | KNiHCF,SPI+CBU (ours),63,0.555911643,1,0,19.28720761,100
Hu pH 7 | KNiHCF,SPI+TBU,14,49.55591164,62,,,100
Hu pH 7 | KNiHCF,SPI+TBU,28,35.55591164,43.33280128,,,100
Hu pH 7 | KNiHCF,SPI+TBU,42,21.55591164,19,,,100
Hu pH 7 | KNiHCF,SPI+TBU,56,7.555911643,6.888526565,,,100
Hu pH 7 | KNiHCF,SPI+TBU,63,0.555911643,0.728132838,,,100
Hu pH 7 | KNiHCF,Lin,14,49.55591164,63.24100709,,,100
Hu pH 7 | KNiHCF,Lin,28,35.55591164,49.87745428,,,100
Hu pH 7 | KNiHCF,Lin,42,21.55591164,25.20015785,,,100
Hu pH 7 | KNiHCF,Lin,56,7.555911643,9.876517282,,,100
Hu pH 7 | KNiHCF,Lin,63,0.555911643,2,,,100
Hu pH 7 | NaMnHCF,SPI+CBU (ours),14,45.29006408,57,32.22323322,81.77676678,100
Hu pH 7 | NaMnHCF,SPI+CBU (ours),28,31.29006408,32.83758736,5.618831299,60.05634341,100
Hu pH 7 | NaMnHCF,SPI+CBU (ours),42,17.29006408,16,0,41.30977583,100
Hu pH 7 | NaMnHCF,SPI+CBU (ours),56,3.290064077,2.853533984,0,25.78575011,100
Hu pH 7 | NaMnHCF,SPI+CBU (ours),59,0.290064077,2.242353251,0,22.68156753,100
Hu pH 7 | NaMnHCF,SPI+TBU,14,45.29006408,58.76607361,,,100
Hu pH 7 | NaMnHCF,SPI+TBU,28,31.29006408,18.024315,,,100
Hu pH 7 | NaMnHCF,SPI+TBU,42,17.29006408,4.355001701,,,100
Hu pH 7 | NaMnHCF,SPI+TBU,56,3.290064077,0,,,100
Hu pH 7 | NaMnHCF,SPI+TBU,59,0.290064077,0,,,100
Hu pH 7 | NaMnHCF,Lin,14,45.29006408,57.90369707,,,100
Hu pH 7 | NaMnHCF,Lin,28,31.29006408,22.86452865,,,100
Hu pH 7 | NaMnHCF,Lin,42,17.29006408,4.973873733,,,100
Hu pH 7 | NaMnHCF,Lin,56,3.290064077,0,,,100
Hu pH 7 | NaMnHCF,Lin,59,0.290064077,0,,,100
Hu pH 9 | NaMnHCF,SPI+CBU (ours),14,68.13767025,63.14739415,35.47057138,90.82421692,100
Hu pH 9 | NaMnHCF,SPI+CBU (ours),28,54.13767025,43.7728807,14.63964717,72.90611424,100
Hu pH 9 | NaMnHCF,SPI+CBU (ours),42,40.13767025,29.93517282,4.438444918,55.43190073,100
Hu pH 9 | NaMnHCF,SPI+CBU (ours),56,26.13767025,20,0.53979339,39.46020661,100
Hu pH 9 | NaMnHCF,SPI+CBU (ours),70,12.13767025,14,0.965702425,27.03429757,100
Hu pH 9 | NaMnHCF,SPI+CBU (ours),82,0.137670246,3.886741325,0,15.05662537,100
Hu pH 9 | NaMnHCF,SPI+TBU,14,68.13767025,57.80739415,,,100
Hu pH 9 | NaMnHCF,SPI+TBU,28,54.13767025,30.46455639,,,100
Hu pH 9 | NaMnHCF,SPI+TBU,42,40.13767025,23,,,100
Hu pH 9 | NaMnHCF,SPI+TBU,56,26.13767025,22,,,100
Hu pH 9 | NaMnHCF,SPI+TBU,70,12.13767025,15.88674132,,,100
Hu pH 9 | NaMnHCF,SPI+TBU,82,0.137670246,4,,,100
Hu pH 9 | NaMnHCF,Lin,14,68.13767025,56.86134511,,,100
Hu pH 9 | NaMnHCF,Lin,28,54.13767025,32.43549666,,,100
Hu pH 9 | NaMnHCF,Lin,42,40.13767025,20.88852656,,,100
Hu pH 9 | NaMnHCF,Lin,56,26.13767025,14.86134511,,,100
