trajectory,method,cycle,actual_retention,pred_retention
Hu pH 7 | KNiHCF,SPI+CBU (ours),14,97.64859615,95.12432009
Hu pH 7 | KNiHCF,SPI+CBU (ours),28,92.47375692,92.69832706
Hu pH 7 | KNiHCF,SPI+CBU (ours),42,87.26530538,88.02301911
Hu pH 7 | KNiHCF,SPI+CBU (ours),56,82.97362538,82.15051926
Hu pH 7 | KNiHCF,SPI+CBU (ours),63,80.20735462,79.97092923
Hu pH 7 | KNiHCF,SPI+TBU,14,97.64859615,95.12432009
Hu pH 7 | KNiHCF,SPI+TBU,28,92.47375692,93.58766913
Hu pH 7 | KNiHCF,SPI+TBU,42,87.26530538,89.13120279
Hu pH 7 | KNiHCF,SPI+TBU,56,82.97362538,81.9065262
Hu pH 7 | KNiHCF,SPI+TBU,63,80.20735462,79.90074202
Hu pH 7 | KNiHCF,Lin,14,97.64859615,95.07839984
Hu pH 7 | KNiHCF,Lin,28,92.47375692,93.13446985
Hu pH 7 | KNiHCF,Lin,42,87.26530538,89.69409003
Hu pH 7 | KNiHCF,Lin,56,82.97362538,83.55136569
Hu pH 7 | KNiHCF,Lin,63,80.20735462,80.78756494
Hu pH 7 | NaMnHCF,SPI+CBU (ours),14,93.55977846,95.69830459
Hu pH 7 | NaMnHCF,SPI+CBU (ours),28,86.15354154,87.23592202
Hu pH 7 | NaMnHCF,SPI+CBU (ours),42,82.09298385,82.62559805
Hu pH 7 | NaMnHCF,SPI+CBU (ours),56,80.65910692,80.37642314
Hu pH 7 | NaMnHCF,SPI+CBU (ours),59,80.09920615,79.95633013
Hu pH 7 | NaMnHCF,SPI+TBU,14,93.55977846,95.69830459
Hu pH 7 | NaMnHCF,SPI+TBU,28,86.15354154,90.41029195
Hu pH 7 | NaMnHCF,SPI+TBU,42,82.09298385,81.45118625
Hu pH 7 | NaMnHCF,SPI+TBU,56,80.65910692,76.50788899
Hu pH 7 | NaMnHCF,SPI+TBU,59,80.09920615,78.47807038
Hu pH 7 | NaMnHCF,Lin,14,93.55977846,95.52958491
Hu pH 7 | NaMnHCF,Lin,28,86.15354154,91.49987221
Hu pH 7 | NaMnHCF,Lin,42,82.09298385,83.1860641
Hu pH 7 | NaMnHCF,Lin,56,80.65910692,76.30631286
Hu pH 7 | NaMnHCF,Lin,59,80.09920615,77.22726915
Hu pH 9 | NaMnHCF,SPI+CBU (ours),14,95.89890692,95.42188354
Hu pH 9 | NaMnHCF,SPI+CBU (ours),28,90.00239385,92.03113917
Hu pH 9 | NaMnHCF,SPI+CBU (ours),42,87.57067615,86.3711615
Hu pH 9 | NaMnHCF,SPI+CBU (ours),56,85.29028385,84.836327
Hu pH 9 | NaMnHCF,SPI+CBU (ours),70,83.19146538,82.64666166
Hu pH 9 | NaMnHCF,SPI+CBU (ours),82,80.05147385,80.35902659
Hu pH 9 | NaMnHCF,SPI+TBU,14,95.89890692,95.42188354
Hu pH 9 | NaMnHCF,SPI+TBU,28,90.00239385,92.03287511
Hu pH 9 | NaMnHCF,SPI+TBU,42,87.57067615,85.56251149
Hu pH 9 | NaMnHCF,SPI+TBU,56,85.29028385,82.60138074
Hu pH 9 | NaMnHCF,SPI+TBU,70,83.19146538,81.56313238
Hu pH 9 | NaMnHCF,SPI+TBU,82,80.05147385,80.56978805
Hu pH 9 | NaMnHCF,Lin,14,95.89890692,95.32042397
Hu pH 9 | NaMnHCF,Lin,28,90.00239385,92.08750812
Hu pH 9 | NaMnHCF,Lin,42,87.57067615,86.22145135
Hu pH 9 | NaMnHCF,Lin,56,85.29028385,82.19340276
Hu pH 9 | NaMnHCF,Lin,70,83.19146538,80.12246999
Hu pH 9 | NaMnHCF,Lin,82,80.05147385,78.83803184
KCl | NaCoHCF,SPI+CBU (ours),14,95.61816846,95.18938557
KCl | NaCoHCF,SPI+CBU (ours),28,94.24000154,91.76892645
KCl | NaCoHCF,SPI+CBU (ours),42,92.25076769,90.35012559
KCl | NaCoHCF,SPI+CBU (ours),56,89.46770077,88.93304711
KCl | NaCoHCF,SPI+CBU (ours),70,85.99577538,85.87242901
KCl | NaCoHCF,SPI+CBU (ours),84,82.95049,82.95052732
KCl | NaCoHCF,SPI+CBU (ours),98,80.18900462,79.66038606
KCl | NaCoHCF,SPI+CBU (ours),99,80.03775923,79.79828572
KCl | NaCoHCF,SPI+TBU,14,95.61816846,95.18938557
KCl | NaCoHCF,SPI+TBU,28,94.24000154,91.73478367
KCl | NaCoHCF,SPI+TBU,42,92.25076769,89.83656543
KCl | NaCoHCF,SPI+TBU,56,89.46770077,90.32015717
KCl | NaCoHCF,SPI+TBU,70,85.99577538,87.89617928
KCl | NaCoHCF,SPI+TBU,84,82.95049,84.79196811
KCl | NaCoHCF,SPI+TBU,98,80.18900462,80.85472206
KCl | NaCoHCF,SPI+TBU,99,80.03775923,80.18660409
KCl | NaCoHCF,Lin,14,95.61816846,95.11829925
KCl | NaCoHCF,Lin,28,94.24000154,91.75415437
KCl | NaCoHCF,Lin,42,92.25076769,89.20691885
KCl | NaCoHCF,Lin,56,89.46770077,88.9207289
KCl | NaCoHCF,Lin,70,85.99577538,87.06123595
KCl | NaCoHCF,Lin,84,82.95049,84.50324896
KCl | NaCoHCF,Lin,98,80.18900462,81.12913864
KCl | NaCoHCF,Lin,99,80.03775923,80.47497474
KHCO3 | KNiHCF,SPI+CBU (ours),14,97.64859615,95.12432009
KHCO3 | KNiHCF,SPI+CBU (ours),28,92.47375692,93.5320771
KHCO3 | KNiHCF,SPI+CBU (ours),42,87.26530538,88.07796421
KHCO3 | KNiHCF,SPI+CBU (ours),56,82.97362538,82.31382764
KHCO3 | KNiHCF,SPI+CBU (ours),63,80.20735462,80.02590721
KHCO3 | KNiHCF,SPI+TBU,14,97.64859615,95.12432009
KHCO3 | KNiHCF,SPI+TBU,28,92.47375692,93.58766913
KHCO3 | KNiHCF,SPI+TBU,42,87.26530538,89.13120279
KHCO3 | KNiHCF,SPI+TBU,56,82.97362538,81.9065262
KHCO3 | KNiHCF,SPI+TBU,63,80.20735462,79.90074202
KHCO3 | KNiHCF,Lin,14,97.64859615,95.07839984
KHCO3 | KNiHCF,Lin,28,92.47375692,93.13446985
KHCO3 | KNiHCF,Lin,42,87.26530538,89.69409003
KHCO3 | KNiHCF,Lin,56,82.97362538,83.55136569
KHCO3 | KNiHCF,Lin,63,80.20735462,80.78756494
KHCO3 | NaMnHCF,SPI+CBU (ours),14,98.16786769,94.99693908
KHCO3 | NaMnHCF,SPI+CBU (ours),28,94.56804462,93.75402228
KHCO3 | NaMnHCF,SPI+CBU (ours),42,91.95829231,91.09228299
KHCO3 | NaMnHCF,SPI+CBU (ours),56,88.63095308,87.94522846
KHCO3 | NaMnHCF,SPI+CBU (ours),70,81.70641923,83.53200218
KHCO3 | NaMnHCF,SPI+CBU (ours),73,80.16985615,81.22197516
KHCO3 | NaMnHCF,SPI+TBU,14,98.16786769,94.99693908
KHCO3 | NaMnHCF,SPI+TBU,28,94.56804462,93.79323781
KHCO3 | NaMnHCF,SPI+TBU,42,91.95829231,90.4310724
KHCO3 | NaMnHCF,SPI+TBU,56,88.63095308,88.19291501
KHCO3 | NaMnHCF,SPI+TBU,70,81.70641923,85.44631576
KHCO3 | NaMnHCF,SPI+TBU,73,80.16985615,83.04875457
KHCO3 | NaMnHCF,Lin,14,98.16786769,94.95320377
KHCO3 | NaMnHCF,Lin,28,94.56804462,93.1254767
KHCO3 | NaMnHCF,Lin,42,91.95829231,90.66472768
KHCO3 | NaMnHCF,Lin,56,88.63095308,88.38328774
KHCO3 | NaMnHCF,Lin,70,81.70641923,85.63752643
KHCO3 | NaMnHCF,Lin,73,80.16985615,83.66055632
NH4Cl | NaCoHCF,SPI+CBU (ours),14,93.68553538,95.60212173
NH4Cl | NaCoHCF,SPI+CBU (ours),28,90.20032923,91.16331598
NH4Cl | NaCoHCF,SPI+CBU (ours),42,90.22220615,89.29758154
NH4Cl | NaCoHCF,SPI+CBU (ours),56,86.41429077,84.96292543
NH4Cl | NaCoHCF,SPI+CBU (ours),70,80.11043538,80.9008496
NH4Cl | NaCoHCF,SPI+TBU,14,93.68553538,95.60212173
NH4Cl | NaCoHCF,SPI+TBU,28,90.20032923,97.98331598
NH4Cl | NaCoHCF,SPI+TBU,42,90.22220615,96.4403068
NH4Cl | NaCoHCF,SPI+TBU,56,86.41429077,88.78148471
NH4Cl | NaCoHCF,SPI+TBU,70,80.11043538,84.72545174
NH4Cl | NaCoHCF,Lin,14,93.68553538,95.67901923
NH4Cl | NaCoHCF,Lin,28,90.20032923,88.85620933
NH4Cl | NaCoHCF,Lin,42,90.22220615,93.40898884
NH4Cl | NaCoHCF,Lin,56,86.41429077,90.26235146
NH4Cl | NaCoHCF,Lin,70,80.11043538,87.29174777
NaCl | NaCoHCF,SPI+CBU (ours),14,96.03097615,95.35305302
NaCl | NaCoHCF,SPI+CBU (ours),28,89.4695,91.163752
NaCl | NaCoHCF,SPI+CBU (ours),42,85.86482692,86.0079809
NaCl | NaCoHCF,SPI+CBU (ours),56,80.66021462,81.13224715
NaCl | NaCoHCF,SPI+CBU (ours),57,80.20698615,80.97226408
NaCl | NaCoHCF,SPI+TBU,14,96.03097615,95.35305302
NaCl | NaCoHCF,SPI+TBU,28,89.4695,92.47765245
NaCl | NaCoHCF,SPI+TBU,42,85.86482692,84.92267327
NaCl | NaCoHCF,SPI+TBU,56,80.66021462,80.06623766
NaCl | NaCoHCF,SPI+TBU,57,80.20698615,80.78127916
NaCl | NaCoHCF,Lin,14,96.03097615,95.25875957
NaCl | NaCoHCF,Lin,28,89.4695,92.59659215
NaCl | NaCoHCF,Lin,42,85.86482692,85.96883873
NaCl | NaCoHCF,Lin,56,80.66021462,80.27167634
NaCl | NaCoHCF,Lin,57,80.20698615,80.57232856
Shu | NaCoHCF,SPI+CBU (ours),14,90.60858,95.9898026
Shu | NaCoHCF,SPI+CBU (ours),28,84.49637154,85.56693614
Shu | NaCoHCF,SPI+CBU (ours),42,83.63598077,83.25973878
Shu | NaCoHCF,SPI+CBU (ours),56,83.90580538,82.62562716
Shu | NaCoHCF,SPI+CBU (ours),70,82.12486,81.35459798
Shu | NaCoHCF,SPI+CBU (ours),84,80.27214923,80.28674055
Shu | NaCoHCF,SPI+CBU (ours),85,80.10249,80.42126226
Shu | NaCoHCF,SPI+TBU,14,90.60858,95.9898026
Shu | NaCoHCF,SPI+TBU,28,84.49637154,86.84901678
Shu | NaCoHCF,SPI+TBU,42,83.63598077,80.36916813
Shu | NaCoHCF,SPI+TBU,56,83.90580538,79.00087239
Shu | NaCoHCF,SPI+TBU,70,82.12486,82.21619507
Shu | NaCoHCF,SPI+TBU,84,80.27214923,81.74037476
Shu | NaCoHCF,SPI+TBU,85,80.10249,81.39825037
Shu | NaCoHCF,Lin,14,90.60858,95.86081753
Shu | NaCoHCF,Lin,28,84.49637154,88.9818838
Shu | NaCoHCF,Lin,42,83.63598077,80.05148285
Shu | NaCoHCF,Lin,56,83.90580538,76.06688216
Shu | NaCoHCF,Lin,70,82.12486,77.18574006
Shu | NaCoHCF,Lin,84,80.27214923,76.91350825
Shu | NaCoHCF,Lin,85,80.10249,78.67777158
