trajectory,method,cycle,actual_retention,pred_retention
Hu pH 7 | KCuHCF,SPI+CBU (ours),12,10.113686,67.39336233
Hu pH 7 | KCuHCF,SPI+CBU (ours),24,4.152694,-15.34590479
Hu pH 7 | KCuHCF,SPI+CBU (ours),36,2.654604,-2.830022986
Hu pH 7 | KCuHCF,SPI+CBU (ours),48,2.051286,3.221834257
Hu pH 7 | KCuHCF,SPI+CBU (ours),60,1.740988,3.893659965
Hu pH 7 | KCuHCF,SPI+CBU (ours),72,1.571346,2.920945147
Hu pH 7 | KCuHCF,SPI+CBU (ours),84,1.465448,2.00654659
Hu pH 7 | KCuHCF,SPI+CBU (ours),96,1.395282,1.137748653
Hu pH 7 | KCuHCF,SPI+CBU (ours),100,1.379076,1.447318659
Hu pH 7 | KCuHCF,SPI+TBU,12,10.113686,67.39336233
Hu pH 7 | KCuHCF,SPI+TBU,24,4.152694,-15.34590479
Hu pH 7 | KCuHCF,SPI+TBU,36,2.654604,-10.07414736
Hu pH 7 | KCuHCF,SPI+TBU,48,2.051286,-1.073659923
Hu pH 7 | KCuHCF,SPI+TBU,60,1.740988,6.212385331
Hu pH 7 | KCuHCF,SPI+TBU,72,1.571346,10.21342139
Hu pH 7 | KCuHCF,SPI+TBU,84,1.465448,11.7463183
Hu pH 7 | KCuHCF,SPI+TBU,96,1.395282,12.03437787
Hu pH 7 | KCuHCF,SPI+TBU,100,1.379076,8.819477305
Hu pH 7 | KCuHCF,Lin,12,10.113686,65.9501687
Hu pH 7 | KCuHCF,Lin,24,4.152694,31.35267303
Hu pH 7 | KCuHCF,Lin,36,2.654604,4.408552846
Hu pH 7 | KCuHCF,Lin,48,2.051286,-9.343974629
Hu pH 7 | KCuHCF,Lin,60,1.740988,-14.48280491
Hu pH 7 | KCuHCF,Lin,72,1.571346,-15.11390883
Hu pH 7 | KCuHCF,Lin,84,1.465448,-14.10551251
Hu pH 7 | KCuHCF,Lin,96,1.395282,-12.6982147
Hu pH 7 | KCuHCF,Lin,100,1.379076,-8.817459505
Hu pH 7 | KCuHCF,Log-Bayes,12,10.113686,12.7744251
Hu pH 7 | KCuHCF,Log-Bayes,24,4.152694,-27.1259989
Hu pH 7 | KCuHCF,Log-Bayes,36,2.654604,-20.6812579
Hu pH 7 | KCuHCF,Log-Bayes,48,2.051286,-16.15322648
Hu pH 7 | KCuHCF,Log-Bayes,60,1.740988,-13.45747486
Hu pH 7 | KCuHCF,Log-Bayes,72,1.571346,-11.65667894
Hu pH 7 | KCuHCF,Log-Bayes,84,1.465448,-10.26793231
Hu pH 7 | KCuHCF,Log-Bayes,96,1.395282,-9.235333575
Hu pH 7 | KCuHCF,Log-Bayes,100,1.379076,-7.301749332
Hu pH 7 | KFeHCF,SPI+CBU (ours),12,59.119892,66.74922524
Hu pH 7 | KFeHCF,SPI+CBU (ours),24,39.3366,46.36908544
Hu pH 7 | KFeHCF,SPI+CBU (ours),36,29.833364,34.2837918
Hu pH 7 | KFeHCF,SPI+CBU (ours),48,24.681244,26.64938472
