material,threshold,replicate,method,cycle,actual,pred_retention
Urea,90.0,1,SPI+CBU (ours),3.0,99.73121214333332,99.75080103386438
Urea,90.0,1,SPI+CBU (ours),6.0,99.43154677166666,99.39032865958517
Urea,90.0,1,SPI+CBU (ours),9.0,99.20117977555554,99.10691291814253
Urea,90.0,1,SPI+CBU (ours),12.0,98.77871110444444,98.75368067166129
Urea,90.0,1,SPI+CBU (ours),15.0,98.38242783666666,98.37028182935764
Urea,90.0,1,SPI+CBU (ours),18.0,97.99959934444443,97.96640090343232
Urea,90.0,1,SPI+CBU (ours),21.0,97.56105264,97.55308471767896
Urea,90.0,1,SPI+CBU (ours),24.0,97.08791854333334,97.11568665905996
Urea,90.0,1,SPI+CBU (ours),27.0,96.60950627777778,96.66343724623756
Urea,90.0,1,SPI+CBU (ours),30.0,96.02166597888888,96.19619146930636
Urea,90.0,1,SPI+CBU (ours),33.0,95.55787902555556,95.68985276280432
Urea,90.0,1,SPI+CBU (ours),36.0,95.07878952,95.2000601463621
Urea,90.0,1,SPI+CBU (ours),39.0,94.7033117588889,94.70996130649638
Urea,90.0,1,SPI+CBU (ours),42.0,94.1762743477778,94.23983165514416
Urea,90.0,1,SPI+CBU (ours),45.0,93.57584657111111,93.73505373991556
Urea,90.0,1,SPI+CBU (ours),48.0,93.02116174222222,93.21261409669836
Urea,90.0,1,SPI+CBU (ours),51.0,92.54948730111111,92.70710879823169
Urea,90.0,1,SPI+CBU (ours),54.0,92.26893031333331,92.23955566604717
Urea,90.0,1,SPI+CBU (ours),57.0,91.87418818777776,91.79939278154072
Urea,90.0,1,SPI+CBU (ours),60.0,91.64544887222222,91.40348516965317
Urea,90.0,1,SPI+CBU (ours),63.0,91.25606509555556,91.0520637417526
Urea,90.0,1,SPI+CBU (ours),66.0,91.00198002555554,90.72635743964992
Urea,90.0,1,SPI+CBU (ours),69.0,90.53327592444444,90.4073221759344
Urea,90.0,1,SPI+CBU (ours),72.0,90.19834157555556,90.09058334624582
Urea,90.0,1,SPI+CBU (ours),74.0,90.03023891555556,89.99093495386231
Urea,90.0,1,SPI+TBU,3.0,99.73121214333332,99.8933868944346
Urea,90.0,1,SPI+TBU,6.0,99.43154677166666,99.39805362273005
Urea,90.0,1,SPI+TBU,9.0,99.20117977555554,98.99395386045556
Urea,90.0,1,SPI+TBU,12.0,98.77871110444444,98.70758393837316
Urea,90.0,1,SPI+TBU,15.0,98.38242783666666,98.33411133853583
Urea,90.0,1,SPI+TBU,18.0,97.99959934444443,97.9364262545874
Urea,90.0,1,SPI+TBU,21.0,97.56105264,97.52687557429634
Urea,90.0,1,SPI+TBU,24.0,97.08791854333334,97.1098404716709
Urea,90.0,1,SPI+TBU,27.0,96.60950627777778,96.67076078850091
Urea,90.0,1,SPI+TBU,30.0,96.02166597888888,96.20384687724308
Urea,90.0,1,SPI+TBU,33.0,95.55787902555556,95.69260447156658
Urea,90.0,1,SPI+TBU,36.0,95.07878952,95.14514051231448
Urea,90.0,1,SPI+TBU,39.0,94.7033117588889,94.62428666466668
Urea,90.0,1,SPI+TBU,42.0,94.1762743477778,94.12991890345415
Urea,90.0,1,SPI+TBU,45.0,93.57584657111111,93.67449521358834
Urea,90.0,1,SPI+TBU,48.0,93.02116174222222,93.13138625601394
Urea,90.0,1,SPI+TBU,51.0,92.54948730111111,92.56386944306456
Urea,90.0,1,SPI+TBU,54.0,92.26893031333331,92.03274731862736
Urea,90.0,1,SPI+TBU,57.0,91.87418818777776,91.61100926587432
Urea,90.0,1,SPI+TBU,60.0,91.64544887222222,91.2616990022283
Urea,90.0,1,SPI+TBU,63.0,91.25606509555556,90.95244963657495
Urea,90.0,1,SPI+TBU,66.0,91.00198002555554,90.65923509299876
Urea,90.0,1,SPI+TBU,69.0,90.53327592444444,90.36362702702957
Urea,90.0,1,SPI+TBU,72.0,90.19834157555556,90.05028233524705
Urea,90.0,1,SPI+TBU,74.0,90.03023891555556,89.8460516233889
Urea,90.0,1,Lin,3.0,99.73121214333332,99.9953106474348
Urea,90.0,1,Lin,6.0,99.43154677166666,99.30873276717654
Urea,90.0,1,Lin,9.0,99.20117977555554,98.90771449435294
Urea,90.0,1,Lin,12.0,98.77871110444444,98.57251824289646
Urea,90.0,1,Lin,15.0,98.38242783666666,98.21339280919264
Urea,90.0,1,Lin,18.0,97.99959934444443,97.85309446242034
Urea,90.0,1,Lin,21.0,97.56105264,97.49142927836974
Urea,90.0,1,Lin,24.0,97.08791854333334,97.11939291257794
Urea,90.0,1,Lin,27.0,96.60950627777778,96.71345249027117
Urea,90.0,1,Lin,30.0,96.02166597888888,96.26842736448744
Urea,90.0,1,Lin,33.0,95.55787902555556,95.77663534322406
Urea,90.0,1,Lin,36.0,95.07878952,95.24757013961424
Urea,90.0,1,Lin,39.0,94.7033117588889,94.73383951768716
Urea,90.0,1,Lin,42.0,94.1762743477778,94.2349292899582
Urea,90.0,1,Lin,45.0,93.57584657111111,93.76549287644193
Urea,90.0,1,Lin,48.0,93.02116174222222,93.22922805723226
Urea,90.0,1,Lin,51.0,92.54948730111111,92.67048958472728
Urea,90.0,1,Lin,54.0,92.26893031333331,92.13582914816354
Urea,90.0,1,Lin,57.0,91.87418818777776,91.68488313272866
Urea,90.0,1,Lin,60.0,91.64544887222222,91.29672715387235
Urea,90.0,1,Lin,63.0,91.25606509555556,90.94768780333708
Urea,90.0,1,Lin,66.0,91.00198002555554,90.62082491099964
Urea,90.0,1,Lin,69.0,90.53327592444444,90.29961881103294
Urea,90.0,1,Lin,72.0,90.19834157555556,89.97159363198337
Urea,90.0,1,Lin,74.0,90.03023891555556,89.76936339259146
Urea,90.0,2,SPI+CBU (ours),3.0,99.68184547666664,99.75615033266392
Urea,90.0,2,SPI+CBU (ours),6.0,99.34696343833332,99.3514087614842
Urea,90.0,2,SPI+CBU (ours),9.0,99.10246644222222,99.03947105605606
Urea,90.0,2,SPI+CBU (ours),12.0,98.63740610444444,98.65135773101233
Urea,90.0,2,SPI+CBU (ours),15.0,98.2252983922222,98.24578959527886
Urea,90.0,2,SPI+CBU (ours),18.0,97.72868212222222,97.81091232618266
Urea,90.0,2,SPI+CBU (ours),21.0,97.18224430666668,97.34051037542942
Urea,90.0,2,SPI+CBU (ours),24.0,96.56519687666668,96.82481234044842
Urea,90.0,2,SPI+CBU (ours),27.0,96.03196905555556,96.28149793636103
Urea,90.0,2,SPI+CBU (ours),30.0,95.31312153444443,95.73463385754016
Urea,90.0,2,SPI+CBU (ours),33.0,94.86208513666666,95.19325679947204
Urea,90.0,2,SPI+CBU (ours),36.0,94.3468634088889,94.67740780972372
Urea,90.0,2,SPI+CBU (ours),39.0,94.07480675888888,94.1854257744986
Urea,90.0,2,SPI+CBU (ours),42.0,93.49117990333332,93.71051499566708
Urea,90.0,2,SPI+CBU (ours),45.0,92.91907712666664,93.22286118616476
Urea,90.0,2,SPI+CBU (ours),48.0,92.33220229777776,92.72828836043637
Urea,90.0,2,SPI+CBU (ours),51.0,91.9238773011111,92.257596147066
Urea,90.0,2,SPI+CBU (ours),54.0,91.62914142444444,91.81266478502332
Urea,90.0,2,SPI+CBU (ours),57.0,91.1769942988889,91.38895530144336
Urea,90.0,2,SPI+CBU (ours),60.0,90.89333053888888,90.9821303484094
Urea,90.0,2,SPI+CBU (ours),63.0,90.44513731777778,90.58494973834776
Urea,90.0,2,SPI+CBU (ours),66.0,90.20631169222222,90.19732329656462
Urea,90.0,2,SPI+CBU (ours),67.0,90.04693563,90.0728494424094
Urea,90.0,2,SPI+TBU,3.0,99.68184547666664,99.93022702314964
Urea,90.0,2,SPI+TBU,6.0,99.34696343833332,99.41392602366604
Urea,90.0,2,SPI+TBU,9.0,99.10246644222222,98.95953179118028
Urea,90.0,2,SPI+TBU,12.0,98.63740610444444,98.65402388117296
Urea,90.0,2,SPI+TBU,15.0,98.2252983922222,98.26003663199609
Urea,90.0,2,SPI+TBU,18.0,97.72868212222222,97.84729890876054
Urea,90.0,2,SPI+TBU,21.0,97.18224430666668,97.40273272183909
Urea,90.0,2,SPI+TBU,24.0,96.56519687666668,96.90821196240556
Urea,90.0,2,SPI+TBU,27.0,96.03196905555556,96.35302389134208
Urea,90.0,2,SPI+TBU,30.0,95.31312153444443,95.74086886674137
Urea,90.0,2,SPI+TBU,33.0,94.86208513666666,95.08107872194944
Urea,90.0,2,SPI+TBU,36.0,94.3468634088889,94.42613136413082
Urea,90.0,2,SPI+TBU,39.0,94.07480675888888,93.84006329866048
Urea,90.0,2,SPI+TBU,42.0,93.49117990333332,93.36193301808544
Urea,90.0,2,SPI+TBU,45.0,92.91907712666664,92.91692466443108
Urea,90.0,2,SPI+TBU,48.0,92.33220229777776,92.39617224558413
Urea,90.0,2,SPI+TBU,51.0,91.9238773011111,91.84411894807644
Urea,90.0,2,SPI+TBU,54.0,91.62914142444444,91.34552844023143
Urea,90.0,2,SPI+TBU,57.0,91.1769942988889,90.952877370139
Urea,90.0,2,SPI+TBU,60.0,90.89333053888888,90.58819985643296
Urea,90.0,2,SPI+TBU,63.0,90.44513731777778,90.2418545778222
Urea,90.0,2,SPI+TBU,66.0,90.20631169222222,89.90262414814528
Urea,90.0,2,SPI+TBU,67.0,90.04693563,89.85455075273009
Urea,90.0,2,Lin,3.0,99.68184547666664,100.03436047319732
Urea,90.0,2,Lin,6.0,99.34696343833332,99.32266927134478
Urea,90.0,2,Lin,9.0,99.10246644222222,98.90477800280766
Urea,90.0,2,Lin,12.0,98.63740610444444,98.56416020236485
Urea,90.0,2,Lin,15.0,98.2252983922222,98.18941336554234
Urea,90.0,2,Lin,18.0,97.72868212222222,97.80296192042938
Urea,90.0,2,Lin,21.0,97.18224430666668,97.38543223507756
Urea,90.0,2,Lin,24.0,96.56519687666668,96.9077373858444
Urea,90.0,2,Lin,27.0,96.03196905555556,96.36025485589543
Urea,90.0,2,Lin,30.0,95.31312153444443,95.76030216059684
Urea,90.0,2,Lin,33.0,94.86208513666666,95.12637109763943
Urea,90.0,2,Lin,36.0,94.3468634088889,94.49781772290632
Urea,90.0,2,Lin,39.0,94.07480675888888,93.92154691873571
Urea,90.0,2,Lin,42.0,93.49117990333332,93.42452924977133
Urea,90.0,2,Lin,45.0,92.91907712666664,92.95653982736486
Urea,90.0,2,Lin,48.0,92.33220229777776,92.43358848149498
Urea,90.0,2,Lin,51.0,91.9238773011111,91.88615455618964
Urea,90.0,2,Lin,54.0,91.62914142444444,91.37801297912824
Urea,90.0,2,Lin,57.0,91.1769942988889,90.95352409192628
Urea,90.0,2,Lin,60.0,90.89333053888888,90.55902180065908
Urea,90.0,2,Lin,63.0,90.44513731777778,90.18541544523194
Urea,90.0,2,Lin,66.0,90.20631169222222,89.825138630848
Urea,90.0,2,Lin,67.0,90.04693563,89.77897104307786
Urea,90.0,3,SPI+CBU (ours),3.0,99.78057881,99.74367130871512
Urea,90.0,3,SPI+CBU (ours),6.0,99.516130105,99.3836651236265
Urea,90.0,3,SPI+CBU (ours),9.0,99.29989310888888,99.07859823476882
Urea,90.0,3,SPI+CBU (ours),12.0,98.92001610444444,98.7512850891424
Urea,90.0,3,SPI+CBU (ours),15.0,98.53955728111112,98.39606861384296
Urea,90.0,3,SPI+CBU (ours),18.0,98.27051656666669,98.03331561402666
Urea,90.0,3,SPI+CBU (ours),21.0,97.93986097333334,97.6821687097643
Urea,90.0,3,SPI+CBU (ours),24.0,97.61064021,97.33006586354598
Urea,90.0,3,SPI+CBU (ours),27.0,97.18704350000002,96.98072262233276
Urea,90.0,3,SPI+CBU (ours),30.0,96.73021042333332,96.6196192730953
Urea,90.0,3,SPI+CBU (ours),33.0,96.25367291444444,96.20968551771878
Urea,90.0,3,SPI+CBU (ours),36.0,95.81071563111112,95.79477829826511
Urea,90.0,3,SPI+CBU (ours),39.0,95.33181675888888,95.33019703173632
Urea,90.0,3,SPI+CBU (ours),42.0,94.8613687922222,94.88524634955844
Urea,90.0,3,SPI+CBU (ours),45.0,94.23261601555556,94.36916401028222
Urea,90.0,3,SPI+CBU (ours),48.0,93.71012118666664,93.83431206705284
Urea,90.0,3,SPI+CBU (ours),51.0,93.17509730111112,93.29570334162322
Urea,90.0,3,SPI+CBU (ours),54.0,92.90871920222224,92.82671559864303
Urea,90.0,3,SPI+CBU (ours),57.0,92.57138207666668,92.43301090045328
Urea,90.0,3,SPI+CBU (ours),60.0,92.39756720555556,92.10443246125126
Urea,90.0,3,SPI+CBU (ours),63.0,92.06699287333332,91.82265766069472
Urea,90.0,3,SPI+CBU (ours),66.0,91.79764835888888,91.52220508444464
Urea,90.0,3,SPI+CBU (ours),69.0,91.29493481333331,91.1924707254201
Urea,90.0,3,SPI+CBU (ours),72.0,90.8500449088889,90.80565886412391
Urea,90.0,3,SPI+CBU (ours),75.0,90.40974622333334,90.41899498870114
Urea,90.0,3,SPI+CBU (ours),78.0,90.15582981555556,90.07110090492779
Urea,90.0,3,SPI+CBU (ours),80.0,90.04092037555556,89.98668951794248
Urea,90.0,3,SPI+TBU,3.0,99.78057881,99.9150229466602
Urea,90.0,3,SPI+TBU,6.0,99.516130105,99.30820646793228
Urea,90.0,3,SPI+TBU,9.0,99.29989310888888,98.94308969486625
Urea,90.0,3,SPI+TBU,12.0,98.92001610444444,98.65119002427502
Urea,90.0,3,SPI+TBU,15.0,98.53955728111112,98.3191756427078
Urea,90.0,3,SPI+TBU,18.0,98.27051656666669,97.97069095492498
Urea,90.0,3,SPI+TBU,21.0,97.93986097333334,97.63523413774776
Urea,90.0,3,SPI+TBU,24.0,97.61064021,97.33797198870936
Urea,90.0,3,SPI+TBU,27.0,97.18704350000002,97.05185030422668
Urea,90.0,3,SPI+TBU,30.0,96.73021042333332,96.75071883265387
Urea,90.0,3,SPI+TBU,33.0,96.25367291444444,96.39272548526908
Urea,90.0,3,SPI+TBU,36.0,95.81071563111112,95.94847062965398
Urea,90.0,3,SPI+TBU,39.0,95.33181675888888,95.48267380227594
Urea,90.0,3,SPI+TBU,42.0,94.8613687922222,94.96308093753672
Urea,90.0,3,SPI+TBU,45.0,94.23261601555556,94.48582302183526
Urea,90.0,3,SPI+TBU,48.0,93.71012118666664,93.91711518798778
Urea,90.0,3,SPI+TBU,51.0,93.17509730111112,93.33076858786468
Urea,90.0,3,SPI+TBU,54.0,92.90871920222224,92.76183032796862
Urea,90.0,3,SPI+TBU,57.0,92.57138207666668,92.300773396599
Urea,90.0,3,SPI+TBU,60.0,92.39756720555556,91.95464034166984
Urea,90.0,3,SPI+TBU,63.0,92.06699287333332,91.6718058984477
Urea,90.0,3,SPI+TBU,66.0,91.79764835888888,91.41678543696652
Urea,90.0,3,SPI+TBU,69.0,91.29493481333331,91.150984829076
Urea,90.0,3,SPI+TBU,72.0,90.8500449088889,90.84035003720496
Urea,90.0,3,SPI+TBU,75.0,90.40974622333334,90.4611640684998
Urea,90.0,3,SPI+TBU,78.0,90.15582981555556,90.06957935251985
Urea,90.0,3,SPI+TBU,80.0,90.04092037555556,89.84172971982743
Urea,90.0,3,Lin,3.0,99.78057881,99.9172346542852
Urea,90.0,3,Lin,6.0,99.516130105,99.29525381150798
Urea,90.0,3,Lin,9.0,99.29989310888888,98.91396434792776
Urea,90.0,3,Lin,12.0,98.92001610444444,98.5860247533102
Urea,90.0,3,Lin,15.0,98.53955728111112,98.24510479699492
Urea,90.0,3,Lin,18.0,98.27051656666669,97.91453593914548
Urea,90.0,3,Lin,21.0,97.93986097333334,97.61442302143134
Urea,90.0,3,Lin,24.0,97.61064021,97.3553893972676
Urea,90.0,3,Lin,27.0,97.18704350000002,97.09557461041707
Urea,90.0,3,Lin,30.0,96.73021042333332,96.80522335510842
Urea,90.0,3,Lin,33.0,96.25367291444444,96.45183011941084
Urea,90.0,3,Lin,36.0,95.81071563111112,96.01676153236107
Urea,90.0,3,Lin,39.0,95.33181675888888,95.5602326818342
Urea,90.0,3,Lin,42.0,94.8613687922222,95.05481145475208
Urea,90.0,3,Lin,45.0,94.23261601555556,94.58083589201686
