name,cycle,acc_noGM,acc_GM
Hu pH 7 | KCuHCF,12,0.0,1.0
Hu pH 7 | KCuHCF,24,0.0,1.0
Hu pH 7 | KCuHCF,36,0.0,0.57
Hu pH 7 | KCuHCF,48,0.0,1.0
Hu pH 7 | KCuHCF,60,0.0,0.805
Hu pH 7 | KCuHCF,72,0.0,0.8575
Hu pH 7 | KCuHCF,84,0.0,0.8625
Hu pH 7 | KCuHCF,96,0.0,0.915
Hu pH 7 | KCuHCF,100,0.0,0.8575
Hu pH 7 | KFeHCF,12,0.11,1.0
Hu pH 7 | KFeHCF,24,0.2025,0.795
Hu pH 7 | KFeHCF,36,0.2275,0.685
Hu pH 7 | KFeHCF,48,0.2025,0.5625
Hu pH 7 | KFeHCF,60,0.3575,0.6125
Hu pH 7 | KFeHCF,72,0.4975,0.7775
Hu pH 7 | KFeHCF,84,0.525,0.715
Hu pH 7 | KFeHCF,96,0.365,1.0
Hu pH 7 | KFeHCF,100,0.33,0.6275
Hu pH 7 | KMnHCF,12,0.0025,1.0
Hu pH 7 | KMnHCF,24,0.0,1.0
Hu pH 7 | KMnHCF,36,0.0,0.8025
Hu pH 7 | KMnHCF,48,0.0,0.82
Hu pH 7 | KMnHCF,60,0.0,0.7825
Hu pH 7 | KMnHCF,72,0.0,0.8
Hu pH 7 | KMnHCF,84,0.0,0.755
Hu pH 7 | KMnHCF,96,0.0,0.5025
Hu pH 7 | KMnHCF,100,0.0,1.0
Hu pH 7 | KNiHCF,12,0.4425,1.0
Hu pH 7 | KNiHCF,24,0.4825,0.94
Hu pH 7 | KNiHCF,36,0.575,0.94
Hu pH 7 | KNiHCF,48,0.7175,0.9575
Hu pH 7 | KNiHCF,60,0.775,0.9675
Hu pH 7 | KNiHCF,72,0.93,0.9825
Hu pH 7 | KNiHCF,84,0.99,0.99
Hu pH 7 | KNiHCF,96,0.955,0.96
Hu pH 7 | KNiHCF,100,0.7325,0.7525
Hu pH 7 | NaCoHCF,12,0.3125,1.0
Hu pH 7 | NaCoHCF,24,0.06,1.0
Hu pH 7 | NaCoHCF,36,0.0025,1.0
Hu pH 7 | NaCoHCF,48,0.01,0.9075
Hu pH 7 | NaCoHCF,60,0.1575,0.9125
Hu pH 7 | NaCoHCF,72,0.305,0.93
Hu pH 7 | NaCoHCF,84,0.3225,0.795
Hu pH 7 | NaCoHCF,96,0.1525,1.0
Hu pH 7 | NaCoHCF,100,0.1425,0.5675
Hu pH 7 | NaFeHCF,12,0.25,1.0
Hu pH 7 | NaFeHCF,24,0.355,0.915
Hu pH 7 | NaFeHCF,36,0.61,0.94
Hu pH 7 | NaFeHCF,48,0.8625,0.9825
Hu pH 7 | NaFeHCF,60,0.955,0.99
Hu pH 7 | NaFeHCF,72,1.0,0.9975
Hu pH 7 | NaFeHCF,84,1.0,0.9975
Hu pH 7 | NaFeHCF,96,0.34,1.0
Hu pH 7 | NaFeHCF,100,0.08,1.0
Hu pH 7 | NaMnHCF,12,0.2475,1.0
Hu pH 7 | NaMnHCF,24,0.27,0.8025
Hu pH 7 | NaMnHCF,36,0.3325,0.8
Hu pH 7 | NaMnHCF,48,0.535,0.86
Hu pH 7 | NaMnHCF,60,0.61,0.9
Hu pH 7 | NaMnHCF,72,0.7625,0.93
Hu pH 7 | NaMnHCF,84,0.8475,0.94
Hu pH 7 | NaMnHCF,96,0.8075,0.7975
Hu pH 7 | NaMnHCF,100,0.675,0.59
Hu pH 7 | NaNiHCF,12,0.0575,1.0
Hu pH 7 | NaNiHCF,24,0.02,0.525
Hu pH 7 | NaNiHCF,36,0.055,0.5125
Hu pH 7 | NaNiHCF,48,0.11,0.5375
Hu pH 7 | NaNiHCF,60,0.1825,0.5975
Hu pH 7 | NaNiHCF,72,0.1375,0.5675
Hu pH 7 | NaNiHCF,84,0.18,0.6
Hu pH 7 | NaNiHCF,96,0.165,1.0
Hu pH 7 | NaNiHCF,100,0.2025,0.7325
Hu pH 9 | KCuHCF,12,0.0,1.0
Hu pH 9 | KCuHCF,24,0.0,1.0
Hu pH 9 | KCuHCF,36,0.0,0.7675
Hu pH 9 | KCuHCF,48,0.0,0.685
Hu pH 9 | KCuHCF,60,0.0,0.675
Hu pH 9 | KCuHCF,72,0.0,0.6475
Hu pH 9 | KCuHCF,84,0.0,0.555
Hu pH 9 | KCuHCF,96,0.0,1.0
Hu pH 9 | KCuHCF,100,0.0,0.685
Hu pH 9 | KFeHCF,12,0.0,1.0
Hu pH 9 | KFeHCF,24,0.0,1.0
Hu pH 9 | KFeHCF,36,0.0,0.675
Hu pH 9 | KFeHCF,48,0.0,0.505
Hu pH 9 | KFeHCF,60,0.0,1.0
Hu pH 9 | KFeHCF,72,0.0,0.8575
Hu pH 9 | KFeHCF,84,0.0,0.69
Hu pH 9 | KFeHCF,96,0.0,1.0
Hu pH 9 | KFeHCF,100,0.0,0.54
