traj,cycle,acc_noGM,acc_GM
Hu pH 7 | KNiHCF,14,0.908,0.895
Hu pH 7 | KNiHCF,28,0.978,0.998
Hu pH 7 | KNiHCF,42,0.955,0.98
Hu pH 7 | KNiHCF,56,1.0,1.0
Hu pH 7 | KNiHCF,63,0.698,0.708
Hu pH 7 | NaMnHCF,14,0.802,0.782
Hu pH 7 | NaMnHCF,28,0.012,1.0
Hu pH 7 | NaMnHCF,42,0.0,0.868
Hu pH 7 | NaMnHCF,56,0.0,0.9
Hu pH 7 | NaMnHCF,59,0.0,0.528
Hu pH 9 | NaMnHCF,14,0.86,0.88
Hu pH 9 | NaMnHCF,28,0.565,0.742
Hu pH 9 | NaMnHCF,42,0.998,0.998
Hu pH 9 | NaMnHCF,56,1.0,1.0
Hu pH 9 | NaMnHCF,70,1.0,1.0
Hu pH 9 | NaMnHCF,82,0.972,0.94
KCl | NaCoHCF,14,0.922,0.93
KCl | NaCoHCF,28,0.735,0.88
KCl | NaCoHCF,42,0.01,1.0
KCl | NaCoHCF,56,0.0,1.0
KCl | NaCoHCF,70,0.0,0.662
KCl | NaCoHCF,84,0.078,0.97
KCl | NaCoHCF,98,0.218,1.0
KCl | NaCoHCF,99,0.33,1.0
KHCO3 | KNiHCF,14,0.885,0.875
KHCO3 | KNiHCF,28,0.992,0.988
KHCO3 | KNiHCF,42,0.96,0.99
KHCO3 | KNiHCF,56,1.0,1.0
KHCO3 | KNiHCF,63,0.655,0.74
KHCO3 | NaMnHCF,14,0.928,0.92
KHCO3 | NaMnHCF,28,0.932,0.985
KHCO3 | NaMnHCF,42,0.878,0.922
KHCO3 | NaMnHCF,56,0.858,0.952
KHCO3 | NaMnHCF,70,1.0,1.0
KHCO3 | NaMnHCF,73,1.0,1.0
NH4Cl | NaCoHCF,14,0.0,0.0
NH4Cl | NaCoHCF,28,0.0,0.895
NH4Cl | NaCoHCF,42,0.018,1.0
NH4Cl | NaCoHCF,56,0.785,1.0
NH4Cl | NaCoHCF,70,1.0,1.0
NaCl | NaCoHCF,14,0.912,0.895
NaCl | NaCoHCF,28,0.335,0.558
NaCl | NaCoHCF,42,0.33,0.75
NaCl | NaCoHCF,56,0.948,0.992
NaCl | NaCoHCF,57,0.938,0.998
Shu | NaCoHCF,14,0.458,0.505
Shu | NaCoHCF,28,0.005,1.0
Shu | NaCoHCF,42,0.092,0.812
Shu | NaCoHCF,56,0.108,0.968
Shu | NaCoHCF,70,0.022,0.628
Shu | NaCoHCF,84,0.01,0.625
Shu | NaCoHCF,85,0.015,0.915
Shu | NaNiHCF,14,0.92,0.935
Shu | NaNiHCF,28,0.715,0.89
Shu | NaNiHCF,42,0.962,0.995
Shu | NaNiHCF,56,1.0,1.0
Shu | NaNiHCF,70,1.0,1.0
Shu | NaNiHCF,78,0.558,0.528
