task,nominal_pct,raw_mean,raw_std,conformal_mean,conformal_std
Task 1 (56 screen),50,52.6,28.4,50.4,28.7
Task 1 (56 screen),68,66.3,24.9,68.1,25.2
Task 1 (56 screen),80,76.4,25.0,80.0,23.5
Task 1 (56 screen),90,84.9,22.5,89.5,18.6
Task 1 (56 screen),95,86.9,20.4,94.6,9.2
Task 2 (10 to 80%),50,16.5,13.3,51.9,21.9
Task 2 (10 to 80%),68,22.0,15.6,68.1,21.8
Task 2 (10 to 80%),80,30.3,18.6,78.0,20.2
Task 2 (10 to 80%),90,37.7,20.9,88.2,13.6
Task 2 (10 to 80%),95,47.6,28.4,94.0,10.5
Task 3 KCoHCF,50,3.3,7.5,60.9,37.4
Task 3 KCoHCF,68,9.0,14.8,74.4,36.4
Task 3 KCoHCF,80,14.6,20.7,76.8,35.7
Task 3 KCoHCF,90,23.6,33.3,79.8,32.6
Task 3 KCoHCF,95,28.0,39.9,94.1,8.9
Task 3 PePurease,50,6.5,14.6,52.4,41.0
Task 3 PePurease,68,17.3,33.4,63.7,39.4
Task 3 PePurease,80,22.2,34.5,73.9,30.5
Task 3 PePurease,90,23.6,36.3,89.0,16.2
Task 3 PePurease,95,23.6,36.3,91.7,16.8
